电影,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名,IMDb链接
摩天营救,罗森·马歇尔·瑟伯,罗森·马歇尔·瑟伯,道恩·强森/内芙·坎贝尔/黄经汉/罗兰·默勒/麦肯纳·罗伯茨/诺亚·科特雷尔/诺亚·泰勒/巴勃罗·施瑞博尔/凯文·兰金/昆凌/文峰/马特·欧莱瑞/比特里斯·金/马志/保罗·麦克吉莱恩/吴嘉星/艾德里安·霍姆斯/维努斯·特雷佐/杰特·克莱恩/拜伦·劳森/关永扬/法比欧·塔索恩/卡洛·余,动作/惊悚/冒险,美国,英语/粤语/汉语普通话,2018-07-20(中国大陆)/2018-07-13(美国),102分钟,摩天大楼(台)/高凶浩劫(港)/高耸入云,tt5758778
影,张艺谋,李威/张艺谋,邓超/孙俪/郑恺/王千源/王景春/胡军/关晓彤/吴磊/封柏,剧情/动作/武侠/古装,中国大陆/香港,汉语普通话,2018-09-30(中国大陆)/2018-09-06(威尼斯电影节),116分钟,三国·荆州/荆州保卫战/Shadow,tt6864046
狄仁杰之四大天王,徐克,张家鲁/徐克/陈国富,赵又廷/冯绍峰/林更新/阮经天/马思纯/刘嘉玲/盛鉴/杨一威/唐古特·宝日夫/张傲月/孙蛟龙/汪汐潮/铁男/李炳雷/许明虎,动作/悬疑/奇幻/武侠/古装,中国大陆/香港,汉语普通话,2018-07-27(中国大陆),132分钟,狄仁杰3/DetectiveDee:TheFourHeavenlyKings,tt6869538
神奇女侠,派蒂·杰金斯,艾伦·海因伯格/扎克·施奈德/贾森·福克斯/威廉·马斯顿,盖尔·加朵/克里斯·派恩/康妮·尼尔森/罗宾·怀特/丹尼·赫斯顿/大卫·休里斯/萨伊德·塔格马奥/艾文·布莱纳/尤金·布雷弗·洛克/露茜·戴维斯/埃伦娜·安纳亚/莉莉·阿斯佩尔/艾米丽·凯里/丽莎·洛文·孔斯利/安·奥戈博莫/杜晨·科洛斯,动作/奇幻/冒险,美国/中国大陆/香港,英语,2017-06-02(中国大陆/美国)/2017-05-30(香港/台湾),141分钟,神力女超人(台),tt0451279
海王,温子仁,大卫·莱斯利·约翰逊-麦戈德里克/威尔·比尔/乔夫·琼斯/温子仁/莫尔特·魏辛格/保罗·诺里斯,杰森·莫玛/艾梅柏·希尔德/威廉·达福/帕特里克·威尔森/妮可·基德曼/杜夫·龙格尔/叶海亚·阿卜杜勒-迈丁/特穆拉·莫里森/林路迪/迈克尔·比奇/兰道尔·朴/格拉汉姆·麦克泰维什/雷·沃纳尔/泰努伊·柯克伍德/塔穆尔·柯克伍德/丹泽尔·夸克/卡恩·古尔杜尔/奥蒂斯·丹吉/克考亚·克库毛诺/朱莉·安德鲁斯/约翰·瑞斯-戴维斯/杰曼·翰苏/索菲亚·福雷斯特/娜塔莉亚·姗福瑞/杰克·安德鲁/汉克·阿莫斯/帕特里克·考克斯/罗伯特·朗斯特里特/德维卡·帕利赫/梅布尔·塔莫内/文森特·B·拉戈斯/加布里埃拉·佩特科娃/爱丽丝·兰斯伯里/帕特里克·艾奇逊/约翰·盖蒂尔/塔丽亚·杰德·霍尔特/罗斯·克纳汉/布拉登·刘易斯/萨尔瓦多·梅伦达/山姆·莫纳汉/温妮·穆赞贝/凯·潘塔诺/安娜·帕奇/乔恩·奎斯蒂德/迪伦·斯图默/米奇·武尔夫,动作/奇幻/冒险,美国/澳大利亚,英语/毛利语/意大利语/俄语,2018-12-07(中国大陆)/2018-12-21(美国),143分钟,水行侠(港/台)/潜水侠/水人/人鱼哥(豆友译名),tt1477834
山茶花飘零,木村大作,小泉尧史,冈田准一/西岛秀俊/黑木华/池松壮亮/绪形直人/柳乐优弥/芳根京子/骏河太郎/渡边大/麻生久美子/石桥莲司/富司纯子/奥田瑛二,剧情/动作,日本,日语,2018-09-28(日本),111分钟,飘落的山茶花/椿花散落,tt6926356
碟中谍6：全面瓦解,克里斯托弗·麦奎里,克里斯托弗·麦奎里/布鲁斯·盖勒,汤姆·克鲁斯/亨利·卡维尔/文·瑞姆斯/西蒙·佩吉/丽贝卡·弗格森/西恩·哈里斯/安吉拉·贝塞特/凡妮莎·柯比/米歇尔·莫纳汉/韦斯·本特利/费雷德里克·施密特/亚历克·鲍德温/杨亮/克里斯托弗·约纳尔/沃尔夫·布利策/拉斐尔·琼勒/安德鲁·卡扎纳夫·平/克里斯多夫·德·舒瓦西/拉裴尔·德普雷/让·巴普蒂斯特·菲永/马克斯·盖勒/奥利维尔·体班德/亚历山大·普尔/阿利克斯·贝纳泽什/乔伊·安沙/维利贝·托皮奇/格雷厄姆·福克斯/卡斯珀·菲利普森/菲恩·乔利/鲁斯·贝恩/奈杰尔·艾伦,动作/惊悚/冒险,美国/中国大陆/法国/挪威,英语/法语,2018-08-31(中国大陆)/2018-07-27(美国),147分钟/148分钟(中国大陆),碟中谍6/不可能的任务：全面瓦解(台)/职业特工队：叛逆之谜(港)/Mission:Impossible6/MI6,tt4912910
战狼2,吴京,吴京/董群/刘毅,吴京/弗兰克·格里罗/吴刚/张翰/卢靖姗/丁海峰/淳于珊珊/余男/于谦/石兆琪/海蒂·莫尼梅克/奥列格·普鲁迪乌斯/艾伦·托尼/赛尔·哈里斯/高明/王森/苇青/程愫/张永达/郭秋成/杜建桥/周冠廷/安·詹姆斯/黛安娜·希拉/孙率航/张馨月/关海龙/安妮塔·斯图尔特/特雷弗·琼斯/奥斯汀·普里斯特/克莱·方特诺特/保罗·艾力卡/丹尼尔·哈格里夫/李镇男/庄小龙/陈云志/肯尼迪,动作/战争,中国大陆,汉语普通话/英语,2017-07-27(中国大陆),123分钟,新战狼/新战死沙场/WolfWarriors2,tt7131870
王牌特工2：黄金圈,马修·沃恩,简·古德曼/马修·沃恩/马克·米勒/戴夫·吉布森,塔伦·埃格顿/科林·费尔斯/马克·斯特朗/朱丽安·摩尔/埃尔顿·约翰/爱德华·霍尔克罗夫特/哈莉·贝瑞/佩德罗·帕斯卡/查宁·塔图姆/杰夫·布里吉斯/迈克尔·刚本/索菲·库克森/汉娜·奥斯特罗姆/比约恩·格拉纳特/莱娜·恩卓/波比·迪瓦伊/汤姆·本尼迪克·奈特/托马斯·图尔格斯/基思·艾伦/艾米丽·沃森/布鲁斯·格林伍德/戈登·亚历山大/马丁·福特/明格斯·约翰斯顿,喜剧/动作/冒险,英国/美国,英语/意大利语/瑞典语,2017-10-20(中国大陆)/2017-09-20(英国)/2017-09-22(美国),141分钟/139分钟(中国大陆),王牌特工2/皇家特工：金圈子(港)/金牌特务：机密对决(台)/王牌特工2：黄金圆环/王牌特工：黄金圈/Kingsman2,tt4649466
追龙,王晶/关智耀,王晶/吕冠南/叶铭浩,甄子丹/刘德华/姜皓文/郑则仕/刘浩龙/汤镇业/喻亢/胡然/徐冬冬/黄日华/陈惠敏/周励淇/吴毅将,动作/犯罪,香港/中国大陆,粤语/汉语普通话,2017-09-30(中国大陆),128分钟,卧虎2/跛豪/ChasingtheDragon,tt6015328
英伦对决,马丁·坎贝尔,大卫·马可尼/史蒂芬·莱泽,成龙/皮尔斯·布鲁斯南/刘涛/梁佩诗/夏莉·墨菲/欧拉·布莱蒂/迈克尔·麦克埃尔哈顿/西蒙·坤茨/雷·费隆/罗里·弗莱克-拜恩/皮帕·贝内特-华纳/德尔莫特·克劳利/蒂利亚纳·布克丽瓦/鲁弗斯·琼斯/斯蒂芬·霍根,动作/犯罪,英国/中国大陆/美国,英语/汉语普通话,2017-09-30(中国大陆)/2017-10-13(美国),113分钟,龙震天下/普通人/中国人/外国佬/TheChinaman,tt1615160
动物世界,韩延,韩延,李易峰/迈克尔·道格拉斯/周冬雨/曹炳琨/王戈/苏可,剧情/动作/冒险,中国大陆,汉语普通话/英语,2018-06-29(中国大陆),132分钟,赌博默示录中国版/AnimalWorld,tt7946836
