电影,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名,IMDb链接
唐人街探案2,陈思诚,陈思诚,王宝强/刘昊然/肖央/刘承羽/尚语贤/王迅/妻夫木聪/迈克尔·皮特/白灵/元华/曾江/王成思/杨金赐/范湉湉/佟丽娅/陈思诚,喜剧/动作/悬疑/犯罪,中国大陆,汉语普通话,2018-02-16(中国大陆),121分钟,唐探2/DetectiveChinatownVol2,tt7752454
动物世界,韩延,韩延,李易峰/迈克尔·道格拉斯/周冬雨/曹炳琨/王戈/苏可,剧情/动作/冒险,中国大陆,汉语普通话/英语,2018-06-29(中国大陆),132分钟,赌博默示录中国版/AnimalWorld,tt7946836
邪不压正,姜文,姜文/何冀平/李非/孙悦/张北海,彭于晏/廖凡/姜文/周韵/许晴/泽田谦也/安地/史航/李梦/丁嘉丽/陈曦,剧情/喜剧/动作,中国大陆,汉语普通话/英语/日语/法语,2018-07-13(中国大陆),137分钟/134分钟(香港),侠隐/HiddenMan,tt8434380
疯狂的外星人,宁浩,孙小杭/董润年/吴楠/刘晓丹/潘依然,黄渤/沈腾/汤姆·派福瑞/马修·莫里森/徐峥/于和伟/雷佳音/刘桦/邓飞/蔡明凯/王戈/凯特·纳尔逊/王砚伟/呲路,喜剧/科幻,中国大陆,汉语普通话/英语,2019-02-05(中国大陆),116分钟,CrazyAlien,tt6660238
过春天,白雪,白雪/林美如,黄尧/孙阳/汤加文/倪虹洁/江美仪/廖启智/焦刚,剧情,中国大陆,汉语普通话/粤语,2019-03-15(中国大陆)/2018-09-08(多伦多电影节),99分钟,分隔线/佩佩/TheCrossing,tt8875366
西虹市首富,闫非/彭大魔,闫非/彭大魔/林炳宝,沈腾/宋芸桦/张一鸣/张晨光/常远/魏翔/赵自强/九孔/李立群/王成思/徐冬冬/艾伦/杨皓宇/黄才伦/王力宏/包贝尔/郎咸平/张绍刚/杨文哲/陶亮/王赞/黄杨/刘鉴/杨沅翰/林炳宝/骆佳/陈昊明/臧一人,喜剧,中国大陆,汉语普通话,2018-07-27(中国大陆),118分钟,HelloMr.Billionaire,tt8529186
白蛇：缘起,黄家康/赵霁,大毛,张喆/杨天翔/唐小喜/刘薇/张遥函/郑小璞/张博恒/张赫/马程/程寅/陈霖生/惠龙/林强/章斌,爱情/动画/奇幻,中国大陆/美国,汉语普通话,2019-01-11(中国大陆),99分钟,WhiteSnake,tt9288776
飞驰人生,韩寒,韩寒,沈腾/黄景瑜/尹正/张本煜/尹昉/田雨/魏翔/赵文瑄/腾格尔/易小星/李庆誉/高华阳/刘帅良/李玲玉/何穗/潘晓婷/田沅/李春嫒/冯绍峰,喜剧,中国大陆,汉语普通话/英语,2019-02-05(中国大陆),98分钟,Pegasus,tt9597190
一出好戏,黄渤,黄渤/张冀/郭俊立/查慕春/崔斯韦/邢爱娜/黄湛中,黄渤/舒淇/王宝强/张艺兴/于和伟/王迅/李勤勤/李又麟/宁浩/管虎/梁静/徐峥/陈德森/张磊,剧情/喜剧,中国大陆,汉语普通话,2018-08-10(中国大陆),134分钟,大富翁/诳想曲/TheIsland,tt8755316
无双,庄文强,庄文强,周润发/郭富城/张静初/冯文娟/廖启智/周家怡/王耀庆/方中信/高捷/邢佳栋/张松枝/张建声/吴嘉龙/孙佳君,剧情/动作/悬疑/犯罪,中国大陆/香港,汉语普通话/粤语/英语/泰语/波兰语,2018-09-30(中国大陆)/2018-10-04(香港),130分钟,ProjectGutenberg/Moseung,tt7183578
我不是药神,文牧野,韩家女/钟伟/文牧野,徐峥/王传君/周一围/谭卓/章宇/杨新鸣/王佳佳/王砚辉/贾晨飞/龚蓓苾/宁浩/李乃文/岳小军/苇青/富冠铭/巴拉特·巴蒂/喜利图/张海艳/朱耕佑,剧情/喜剧,中国大陆,汉语普通话/英语/上海话/印地语,2018-07-05(中国大陆)/2018-06-30(大规模点映),117分钟,中国药神/印度药神/印度药商/生命之路/DyingtoSurvive/DrugDealer,tt7362036
无名之辈,饶晓志,饶晓志/雷志龙,陈建斌/任素汐/潘斌龙/章宇/王砚辉/九孔/马吟吟/程怡/宁桓宇/邓恩熙/谢波/范翔/赵梓冲/史策/马睿瀚/林海/邓钢,剧情/喜剧,中国大陆,汉语普通话/贵州话,2018-11-16(中国大陆),108分钟,慌枪走板/ACoolFish,tt9282616
芳华,冯小刚,严歌苓,黄轩/苗苗/钟楚曦/杨采钰/李晓峰/王天辰/王可如/隋源/张仁博/苏岩/张国立/赵立新,剧情/历史/战争,中国大陆,汉语普通话,2017-12-15(中国大陆)/2017-09-07(多伦多电影节),136分钟/146分钟(多伦多电影节),歌声离我远去/Youth,tt6654316
战狼2,吴京,吴京/董群/刘毅,吴京/弗兰克·格里罗/吴刚/张翰/卢靖姗/丁海峰/淳于珊珊/余男/于谦/石兆琪/海蒂·莫尼梅克/奥列格·普鲁迪乌斯/艾伦·托尼/赛尔·哈里斯/高明/王森/苇青/程愫/张永达/郭秋成/杜建桥/周冠廷/安·詹姆斯/黛安娜·希拉/孙率航/张馨月/关海龙/安妮塔·斯图尔特/特雷弗·琼斯/奥斯汀·普里斯特/克莱·方特诺特/保罗·艾力卡/丹尼尔·哈格里夫/李镇男/庄小龙/陈云志/肯尼迪,动作/战争,中国大陆,汉语普通话/英语,2017-07-27(中国大陆),123分钟,新战狼/新战死沙场/WolfWarriors2,tt7131870
影,张艺谋,李威/张艺谋,邓超/孙俪/郑恺/王千源/王景春/胡军/关晓彤/吴磊/封柏,剧情/动作/武侠/古装,中国大陆/香港,汉语普通话,2018-09-30(中国大陆)/2018-09-06(威尼斯电影节),116分钟,三国·荆州/荆州保卫战/Shadow,tt6864046
