电影,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名,IMDb链接
死侍2：我爱我家,大卫·雷奇,瑞特·里斯/保罗·韦尼克/瑞恩·雷诺兹/杰克·科比/斯坦·李/罗伯·莱菲尔德/露易丝·西蒙森/莱恩·韦恩/克里斯·克雷蒙/戴夫·科克勒姆/法比安·尼切扎,瑞恩·雷诺兹/乔什·布洛林/朱利安·迪尼森/斯蒂芬·卡皮契奇/莎姬·贝兹/T·J·米勒/莱斯利·格塞斯/卡兰·索尼/布里安娜·希德布兰德/莫蕾娜·巴卡琳/杰克·凯西/埃迪·马森/忽那汐里/兰德尔·瑞德/尼古莱·维切尔/赛尔·哈里斯/罗伯·德兰尼/刘易斯·谭/比尔·斯卡斯加德/泰瑞·克鲁斯/布拉德·皮特/罗伯特·梅耶/艾伦·图代克/马特·达蒙/海莉·塞尔斯/麦克·多普德/卢克·勒斯勒尔/亨特·狄龙/大卫·雷奇/山姆·哈格雷夫/尼古拉斯·霍尔特,喜剧/动作/科幻/冒险,美国,英语,2019-01-25(中国大陆)/2018-05-18(美国),119分钟/134分钟(蓝光版),死侍2/死侍往事/死侍2：童话篇/DP2/OnceUponaDeadpool,tt5463162
寻梦环游记,李·昂克里奇/阿德里安·莫利纳,阿德里安·莫利纳/马修·奥尔德里奇/李·昂克里奇/詹森·卡茨,安东尼·冈萨雷斯/盖尔·加西亚·贝纳尔/本杰明·布拉特/阿兰纳·乌巴奇/芮妮·维克托/杰米·卡米尔/阿方索·阿雷奥/赫伯特·西古恩萨/加布里埃尔·伊格莱西亚斯/隆巴多·博伊尔/安娜·奥菲丽亚·莫吉亚/娜塔丽·科尔多瓦/赛琳娜·露娜/爱德华·詹姆斯·奥莫斯/索菲亚·伊斯皮诺萨/卡拉·梅迪纳/黛娅娜·欧特里/路易斯·瓦尔德斯/布兰卡·阿拉切利/萨尔瓦多·雷耶斯/切奇·马林/奥克塔维·索利斯/约翰·拉岑贝格,喜剧/动画/音乐/奇幻,美国,英语/西班牙语,2017-11-24(中国大陆)/2017-10-20(莫雷利亚电影节)/2017-11-22(美国),105分钟,可可夜总会(台)/玩转极乐园(港)/亡灵总动员(豆友译名)/冥冥之中(豆友译名)/墨西哥亡灵节/可可,tt2380307
绿皮书,彼得·法雷里,尼克·瓦莱隆加/布莱恩·海耶斯·库瑞/彼得·法雷里,维果·莫腾森/马赫沙拉·阿里/琳达·卡德里尼/塞巴斯蒂安·马尼斯科/迪米特·D·马里诺夫/迈克·哈顿/P·J·伯恩/乔·柯蒂斯/玛姬·尼克松/冯·刘易斯/乔恩·索特兰/唐·斯达克/安东尼·曼加诺/保罗·斯隆/珍娜·劳伦索/肯尼斯·以色列/伊克博·塞巴/尼克·瓦莱隆加/大卫·安/迈克·切罗内/杰拉尔丁·辛格/马丁·巴特斯·布拉德福德/格拉伦·布莱恩特·班克斯/汤姆·维图/夏恩·帕特洛/丹尼斯·W·霍尔/吉姆·克洛克/戴恩·罗兹/布赖恩·斯特帕尼克/乔恩·迈克尔·戴维斯/布莱恩·海耶斯·库瑞/托尼亚·马尔多纳多,剧情/喜剧/传记,美国,英语/意大利语/俄语/德语,2019-03-01(中国大陆)/2018-09-11(多伦多电影节)/2018-11-16(美国),130分钟,绿簿旅友(港)/幸福绿皮书(台)/绿书,tt6966692
疯狂的外星人,宁浩,孙小杭/董润年/吴楠/刘晓丹/潘依然,黄渤/沈腾/汤姆·派福瑞/马修·莫里森/徐峥/于和伟/雷佳音/刘桦/邓飞/蔡明凯/王戈/凯特·纳尔逊/王砚伟/呲路,喜剧/科幻,中国大陆,汉语普通话/英语,2019-02-05(中国大陆),116分钟,CrazyAlien,tt6660238
一出好戏,黄渤,黄渤/张冀/郭俊立/查慕春/崔斯韦/邢爱娜/黄湛中,黄渤/舒淇/王宝强/张艺兴/于和伟/王迅/李勤勤/李又麟/宁浩/管虎/梁静/徐峥/陈德森/张磊,剧情/喜剧,中国大陆,汉语普通话,2018-08-10(中国大陆),134分钟,大富翁/诳想曲/TheIsland,tt8755316
飞驰人生,韩寒,韩寒,沈腾/黄景瑜/尹正/张本煜/尹昉/田雨/魏翔/赵文瑄/腾格尔/易小星/李庆誉/高华阳/刘帅良/李玲玉/何穗/潘晓婷/田沅/李春嫒/冯绍峰,喜剧,中国大陆,汉语普通话/英语,2019-02-05(中国大陆),98分钟,Pegasus,tt9597190
无名之辈,饶晓志,饶晓志/雷志龙,陈建斌/任素汐/潘斌龙/章宇/王砚辉/九孔/马吟吟/程怡/宁桓宇/邓恩熙/谢波/范翔/赵梓冲/史策/马睿瀚/林海/邓钢,剧情/喜剧,中国大陆,汉语普通话/贵州话,2018-11-16(中国大陆),108分钟,慌枪走板/ACoolFish,tt9282616
缝纫机乐队,大鹏,大鹏/苏彪,大鹏/乔杉/古力娜扎/李鸿其/韩童生/曲隽希/于谦/岳云鹏/王劲松/于洋/代乐乐/赵英俊/马大明/张一鸣/衣云鹤/曹然然/曹桐睿/宋小宝/刘小光/文松/宋晓峰/周冬雨/袁姗姗/宋茜/林志玲,喜剧/音乐,中国大陆,汉语普通话,2017-09-29(中国大陆),117分钟,CityofRock,tt7339584
来电狂响,于淼,李潇/王思/王欢,佟大为/马丽/霍思燕/乔杉/田雨/代乐乐/奚梦瑶/艾伦/张晨光/杨玏/李成敏/许娣/李萍/张帆/徐冬冬/何泓姗/姜来/刘奇/杜江/钟鹿纯/丁龙儿/丁歌/韩昕妤/耿杨/李柄熹/刘润男/贝镜水/李伟/赵宇涵/马嘉璐/津玮/Aleksandr/毕大勋/刘剑/常诚/Natalya/李恬洁/贝乐乐,剧情/喜剧,中国大陆,汉语普通话,2018-12-28(中国大陆),103分钟,中国版《完美陌生人》/手机狂响/KillMobile,tt9408490
帕丁顿熊2,保罗·金,保罗·金/迈克尔·邦德/西蒙·法纳比,本·卫肖/休·格兰特/休·博纳维尔/莎莉·霍金斯/萨缪尔·乔斯林/马德琳·哈里斯/朱丽·沃特斯/布莱丹·格里森/吉姆·布劳德本特/艾美达·斯丹顿/彼得·卡帕尔迪/艾琳·阿特金斯/汤姆·康蒂/本·米勒/诺亚·泰勒/理查德·艾欧阿德,喜剧/动画/家庭,英国/法国/美国,英语,2017-12-08(中国大陆)/2017-11-10(英国),103分钟,柏灵顿2(港)/柏灵顿熊熊出任务(台),tt4468740
