电影,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名,IMDb链接
心理罪,谢东燊,顾小白/李昭/曹晨/雷米,廖凡/李易峰/万茜/李纯/张国柱/谢君豪/封佳奇/蔡鹭/虞朗/范湉湉/易扬,动作/悬疑/犯罪,中国大陆,汉语普通话,2017-08-11(中国大陆),110分钟,心理罪大电影/GuiltyofMind,tt7232860
祈祷落幕时,福泽克雄,李正美/东野圭吾,阿部宽/松岛菜菜子/沟端淳平/田中丽奈/木村绿子/乌丸节子/春风亭升太/音尾琢真/饭丰万理江/上杉祥三/中岛博子/樱田日和/及川光博/伊藤兰/小日向文世/山崎努/香川照之/杏,剧情/悬疑,日本,日语,2019-04-12(中国大陆)/2018-01-27(日本),119分钟,当祈祷落幕时(港)/新参者完结篇：当祈祷落幕时(台)/新参者剧场版：祈祷落幕时/InorinoMakugaOriruToki/TheCrimesThatBind,tt7080138
密室逃生,亚当·罗比特尔,布拉吉·F·舒特/玛丽亚·梅尔尼克,泰勒·拉塞尔/洛根·米勒/黛博拉·安沃尔/泰勒·莱伯恩/杰·埃利斯/尼克·多达尼/杰西卡·萨顿/约里克·范·韦杰宁根/杰米-李·蒙尼/亚当·罗比特尔/韦尔·廷德尔/肯尼思·霍/科尼利厄斯·吉尼/保罗·汉普赛尔/佩泰·塞彭克/丹·格伦伯格/吉诺·李,悬疑/惊悚,美国,英语,2019-01-18(中国大陆)/2019-01-04(美国),99分钟,密室逃殺(港)/密弑游戏(台)/密室逃脱/逃生室/迷宫/TheEscapeRoom,tt5886046
唐人街探案2,陈思诚,陈思诚,王宝强/刘昊然/肖央/刘承羽/尚语贤/王迅/妻夫木聪/迈克尔·皮特/白灵/元华/曾江/王成思/杨金赐/范湉湉/佟丽娅/陈思诚,喜剧/动作/悬疑/犯罪,中国大陆,汉语普通话,2018-02-16(中国大陆),121分钟,唐探2/DetectiveChinatownVol2,tt7752454
东方快车谋杀案,肯尼思·布拉纳,迈克尔·格林/阿加莎·克里斯蒂,肯尼思·布拉纳/佩内洛普·克鲁兹/威廉·达福/朱迪·丹奇/约翰尼·德普/乔什·加德/德里克·雅各比/小莱斯利·奥多姆/米歇尔·菲佛/黛西·雷德利/露西·宝通/奥利维娅·科尔曼/亚当·加西亚/米兰达·莱森/曼努埃尔·加西亚-鲁尔福/汤姆·巴特曼/马尔万·肯扎里/阿拉·萨菲/谢尔盖·波卢宁,剧情/悬疑/犯罪,美国/马耳他,英语/法语/德语/阿拉伯语,2017-11-10(美国/中国大陆)/2017-11-03(英国),114分钟,,tt3402236
燃烧,李沧东,李沧东/吴政美/村上春树,刘亚仁/史蒂文·元/全钟瑞/金秀京/崔承浩/玉子妍,剧情/悬疑,韩国,韩语,2018-05-16(戛纳电影节)/2018-05-17(韩国),148分钟,烧失乐园(港)/燃烧烈爱(台)/烧仓房(原著)/Burning/Beoning,tt7282468
风中有朵雨做的云,娄烨,梅峰/邱玉洁/马英力,井柏然/宋佳/马思纯/秦昊/陈妍希/张颂文/陈冠希/颜卓灵,剧情/悬疑/犯罪,中国大陆,汉语普通话/粤语,2019-04-04(中国大陆)/2018-11-09(台北金马影展),124分钟(中国大陆)/125分钟(柏林电影节)/129分钟(金马影展),地狱恋人/地狱情人/风雨云/HellLover/CloudintheWind/TheShadowPlay,tt8071308
忌日快乐,克里斯托弗·兰登,斯科特·洛布德尔,杰西卡·罗德/伊瑟尔·布罗萨德/露比·莫迪恩/查尔斯·艾特肯/劳拉·克利夫顿/杰森·拜尔/罗布·梅洛/瑞秋·马休斯/拉姆齐·安德森/布雷迪·刘易斯/飞·武/泰内娅·因崔亚戈/布莱恩·克恩/卡瑞尔拉·史密斯/吉米·冈萨雷斯/比利·斯洛特/唐娜·杜普兰提尔/吉吉·埃内塔/林赛·G·史密斯/戴恩·罗兹/凯莱布·斯比尔亚兹/蜜西·雅格,悬疑/惊悚/恐怖,美国,英语,2018-02-02(中国大陆)/2017-10-13(美国),96分钟,死日快乐/吓到半死/死亡无限LOOP(港)/Again/HalftoDeath/HappyBirthdead,tt5308322
暴裂无声,忻钰坤,忻钰坤,宋洋/姜武/袁文康/谭卓/王梓尘/安琥/伊天锴,剧情/悬疑/犯罪,中国大陆,汉语普通话,2018-04-04(中国大陆)/2017-07-27(FIRST青年影展),120分钟,恶人/寻山/山野追踪/Villain/WrathofSilence,tt6389316
深红累之渊,佐藤祐市,黑岩勉/松浦だるま,土屋太凤/芳根京子/横山裕/筒井真理子/生田智子/村井国夫/檀丽/浅野忠信,悬疑,日本,日语,2018-09-07(日本),112分钟,,tt7058612
网络谜踪,阿尼什·查甘蒂,阿尼什·查甘蒂/赛弗·奥哈尼安,约翰·赵/米切尔·拉/黛博拉·梅辛/约瑟夫·李/萨拉·米博·孙/亚历克丝·杰恩·高/刘玥辰/刘卡雅/多米尼克·霍夫曼/西尔维亚·米纳西安/梅丽莎·迪斯尼/康纳·麦克雷斯/科林·伍德尔/约瑟夫·约翰·谢尔勒/阿什丽·艾德纳/考特尼·劳伦·卡明斯/托马斯·巴布萨卡/朱莉·内桑森/罗伊·阿布拉姆森/盖奇·比尔托福/肖恩·奥布赖恩/瑞克·萨拉比亚/布拉德·阿布瑞尔/加布里埃尔·D·安吉尔,剧情/悬疑/惊悚/犯罪,美国/俄罗斯,英语,2018-12-14(中国大陆)/2018-01-20(圣丹斯电影节)/2018-08-24(美国),102分钟,人肉搜寻(港)/人肉搜索(台)/搜索/屏幕搜索,tt7668870
