电影,导演,编剧,主演,类型,官方网站,制片国家/地区,语言,上映日期,片长,又名,IMDb链接
烟花,新房昭之/武内宣之,大根仁/岩井俊二,广濑铃/菅田将晖/宫野真守/松隆子/花泽香菜/浅沼晋太郎/丰永利行/梶裕贵/三木真一郎/樱井孝宏/根谷美智子/飞田展男/宫本充/立木文彦/斋藤千和/岛村侑/新垣樽助/种崎敦美/井之上润/小原好美/广田悠美/内田修一,剧情/动画,www.uchiagehanabi.jp,日本,日语,2017-12-01(中国大陆)/2017-08-18(日本),90分钟,"烟花动画版/烟花，应该和谁看(港)/升空的焰火，从下面看？还是从侧面看？/Fireworks,ShouldWeSeeItfromtheSideortheBottom?/Uchiagehanabi,shitakaramiruka?Yokokaramiruka?",tt6317962
龙珠超：布罗利,长峰达也,鸟山明,野泽雅子/堀川亮/中尾隆圣/岛田敏/古川登志夫/久川绫/山寺宏一/森田成一/水树奈奈/杉田智和/宝龟克寿,动画,www.dbmovie-20th.com,日本,日语,2019(中国大陆)/2018-12-14(日本),100分钟,龙珠超剧场版：布洛尼(港)/DragonBallSuper:Broly/DragonBallSuper:TheMovie-Broly,tt7961060
深红累之渊,佐藤祐市,黑岩勉/松浦だるま,土屋太凤/芳根京子/横山裕/筒井真理子/生田智子/村井国夫/檀丽/浅野忠信,悬疑,kasane-movie.jp,日本,日语,2018-09-07(日本),112分钟,,tt7058612
我的英雄学院：两位英雄,长崎健司,黑田洋介,山下大辉/三宅健太/志田未来/生濑胜久/冈本信彦/佐仓绫音/石川界人/梶裕贵/增田俊树/广桥凉/畠中祐/井上麻里奈/真堂圭/古岛清孝/奈良彻/西田雅一/细谷佳正/喜多村英梨/悠木碧/名塚佳织/小山力也/小形满/木村良平/大悟/饭田利信/佐藤健辅/富樫美铃/福西胜也/小林爱,动作/动画,heroaca-movie.com,日本,日语,2019-03-15(中国大陆)/2018-08-03(日本),96分钟,我的英雄学院剧场版：2人的英雄/BokunoHeroAcademiatheMovie/MyHeroAcademia:TheMovie/MyHeroAcademia:TwoHeroes,tt7745068
夜以继日,滨口龙介,田中幸子/滨口龙介/柴崎友香,东出昌大/唐田英里佳/濑户康史/山下莉绪/伊藤沙莉/渡边大知/仲本工事/田中美佐子,剧情/爱情,netemosametemo.jp,日本/法国,日语,2018-05-14(戛纳电影节)/2018-09-01(日本),119分钟,睡了也好，醒来也好(港)/睡着吻别，醒来抱拥(港)/睡着也好醒来也罢(台)/睡着吻别醒来抱拥/不论睡着或醒着/Netemosametemo/AsakoI&II,tt7112154
恋爱回旋,石川淳一,古泽良太,新垣结衣/瑛太/广末凉子/苍井优/濑户康史/永野芽郁/山口纱弥加/佐野勇斗/远藤宪一/森崎博之/吉田钢太郎/久间田琳加/生濑胜久/铃木福/谷花音/真木阳子/小日向文世/中村安奈/水谷隼/石川佳纯/伊藤美诚/木造勇人/吉村真晴/浜本由惟,喜剧/运动,mix-movie.jp,日本,日语,2018-03-09(中国大陆)/2017-10-21(日本),119分钟,混合双打/乒乓情人梦(港)/乒乓少女大逆袭(台)/混双/Mix!/MixedDoubles,tt6523440
昼颜,西谷弘,井上由美子,上户彩/斋藤工/伊藤步/平山浩行/黑泽明日香/萩原实里/志贺广太郎/三浦诚己/涩川清彦/松居大悟/中村育二,剧情/爱情,hirugao.jp,日本,日语,2018-05-18(中国大陆)/2017-06-10(日本),125分钟,昼颜电影版/Hirugao/Hirugao:LoveAffairsintheAfternoon,tt6106802
银魂2,福田雄一,福田雄一,小栗旬/菅田将晖/桥本环奈/柳乐优弥/吉泽亮/三浦春马/洼田正孝/室毅/长泽雅美/冈田将生/木村绿子/佐藤二朗/中村勘九郎/堂本刚/堤真一/胜地凉/夏菜/户塚纯贵/立木文彦,喜剧/动作/冒险,wwws.warnerbros.co.jp/gintama-film/,日本,日语,2018-08-17(日本),135分钟,银魂2：规则是用来打破的/规定就是为了被打破而存在的/Gintama2,tt7639528
银魂,福田雄一,福田雄一/空知英秋,小栗旬/菅田将晖/桥本环奈/柳乐优弥/新井浩文/吉泽亮/早见明里/室毅/长泽雅美/冈田将生/佐藤二朗/菜菜绪/安田显/中村勘九郎/堂本刚/山田孝之,喜剧/动作/奇幻/冒险,wwws.warnerbros.co.jp/gintama-film/,日本,日语,2017-09-01(中国大陆)/2017-07-14(日本),130分钟,银魂真人版/Gintama,tt5805470
我想吃掉你的胰脏,牛岛新一郎,牛岛新一郎,高杉真宙/Lynn/藤井雪代/内田雄马/福岛润/田中敦子/三木真一郎,爱情/动画,kimisui-anime.com,日本,日语,2019-01-18(中国大陆)/2018-09-01(日本),108分钟,我想吃掉你的胰脏动画版/IWanttoEatYourPancreas/LetMeEatYourPancreas,tt7236034
夏目友人帐,大森贵弘/伊藤秀树,绿川幸/村井贞之,神谷浩史/井上和彦/高良健吾/小林沙苗/泽城美雪/石田彰/藤村步/村濑步/伊藤美纪/伊藤荣次/堀江一真/佐藤利奈/木村良平/菅沼久义/雪野五月/川澄绫子/樋口晓里/冈村明美/黑田崇矢/长岛雄一/松山鹰志/下崎纮史/知桐京子/岛本须美,剧情/动画/奇幻,natsume-movie.com,日本,日语,2019-03-07(中国大陆)/2018-09-29(日本),104分钟,夏目友人帐：结缘空蝉/剧场版夏目友人帐～缘结空蝉～/夏目友人帐剧场版/夏目友人帐电影版/Natsume'sBookofFriendsTheMovie:TiedtotheTemporalWorld,tt9081300
名侦探柯南：零的执行人,立川让,樱井武晴/青山刚昌,高山南/山口胜平/山崎和佳奈/小山力也/绪方贤一/林原惠美/古谷彻/置鲇龙太郎,动画/悬疑,www.conan-movie.jp,日本,日语,2018-11-09(中国大陆)/2018-04-13(日本),110分钟,名侦探柯南：零之执行人/名侦探柯南2018/DetectiveConan:ZerotheEnforcer/MeitanteiConan:ZeronoShikkônin/名侦探柯南剧场版2018,tt7880466
浪矢解忧杂货店,广木隆一,齐藤浩史/东野圭吾,山田凉介/村上虹郎/宽一郎/成海璃子/门胁麦/林遣都/铃木梨央/山下莉绪/手塚通/中村治雄/萩原圣人/小林薰/吉行和子/尾野真千子/西田敏行,剧情/奇幻,namiya-movie.jp,日本,日语,2018-02-02(中国大陆)/2017-09-23(日本),129分钟,解忧杂货店/MiraclesoftheNamiyaGeneralStore,tt6298600
