电影,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名,IMDb链接
网络谜踪,阿尼什·查甘蒂,阿尼什·查甘蒂/赛弗·奥哈尼安,约翰·赵/米切尔·拉/黛博拉·梅辛/约瑟夫·李/萨拉·米博·孙/亚历克丝·杰恩·高/刘玥辰/刘卡雅/多米尼克·霍夫曼/西尔维亚·米纳西安/梅丽莎·迪斯尼/康纳·麦克雷斯/科林·伍德尔/约瑟夫·约翰·谢尔勒/阿什丽·艾德纳/考特尼·劳伦·卡明斯/托马斯·巴布萨卡/朱莉·内桑森/罗伊·阿布拉姆森/盖奇·比尔托福/肖恩·奥布赖恩/瑞克·萨拉比亚/布拉德·阿布瑞尔/加布里埃尔·D·安吉尔,剧情/悬疑/惊悚/犯罪,美国/俄罗斯,英语,2018-12-14(中国大陆)/2018-01-20(圣丹斯电影节)/2018-08-24(美国),102分钟,人肉搜寻(港)/人肉搜索(台)/搜索/屏幕搜索,tt7668870
黑豹,瑞恩·库格勒,瑞恩·库格勒/乔·罗伯特·科尔/斯坦·李/杰克·科比,查德维克·博斯曼/露皮塔·尼永奥/迈克尔·B·乔丹/丹娜·奎里拉/马丁·弗瑞曼/丹尼尔·卡卢亚/利蒂希娅·赖特/温斯顿·杜克/斯特林·K·布朗/安吉拉·贝塞特/福里斯特·惠特克/安迪·瑟金斯/弗洛伦丝·卡松巴/约翰·卡尼/大卫·S·李/娜比娅·毕,动作/科幻/冒险,美国/南非/韩国/澳大利亚,斯瓦希里语/英语/科萨语/韩语,2018-03-09(中国大陆)/2018-02-16(美国),134分钟/135分钟(中国大陆),,tt1825683
蜘蛛侠：英雄归来,乔·沃茨,约翰·弗朗西斯·戴利/史蒂夫·迪特寇/乔纳森·M·戈尔茨坦/斯坦·李,汤姆·赫兰德/小罗伯特·唐尼/玛丽莎·托梅/迈克尔·基顿/雅各布·巴特朗/托尼·雷沃罗利/赞达亚/乔恩·费儒/亚伯拉罕·阿塔哈/劳拉·哈里尔/迈克尔·巴尔别里/罗根·马歇尔-格林/马丁·斯塔尔/唐纳德·格洛弗/汉尼拔·布勒斯/迈克尔·曼多/博基姆·伍德拜因/肯尼斯·崔/詹妮弗·康纳利/格温妮斯·帕特洛/克里斯·埃文斯,动作/科幻/冒险,美国,英语,2017-09-08(中国大陆)/2017-06-28(洛杉矶首映)/2017-07-07(美国),133分钟,蜘蛛侠：强势回归(港)/蜘蛛人：返校日(台)/新蜘蛛侠/蜘蛛侠：归来/蜘蛛侠：回家/蜘蛛侠：返校季/蜘蛛侠：返校节/蜘蛛侠：归乡/蜘蛛侠：新复仇者/TheAmazingSpider-Man3/Spider-Man:TheNewAvenger/Spiderman,tt2250912
大黄蜂,特拉维斯·奈特,克里斯蒂娜·霍德森,海莉·斯坦菲尔德/小豪尔赫·兰登伯格/约翰·塞纳/杰森·德鲁克/帕梅拉·阿德龙/斯蒂芬·施耐德/里卡多·霍约斯/约翰·奥提兹/格林·特鲁曼/兰·卡琉/格蕾丝·达斯恩妮/弗里德·杜莱尔/蓝尼·雅各布森/梅金·普莱斯/萨钦·巴特/蒂姆·马丁·格里森/安东尼奥·查丽蒂/艾德文·霍德吉/拉斯·斯兰德/迪伦·奥布莱恩/彼特·库伦/安吉拉·贝塞特/贾斯汀·塞洛克斯/大卫·索博洛夫/格蕾·德丽斯勒/史蒂夫·布卢姆/安德鲁·莫尔加多/威廉·W·巴伯/罗伯特·切斯纳特/米歇尔·方/克里斯蒂安·哈切森/里克·理查森/瓦内萨·罗斯/波士顿·拉什·弗里曼/托尼·托斯特/迪娜·特鲁迪/艾蒂安·维克,动作/科幻/冒险,美国/中国大陆,英语,2019-01-04(中国大陆)/2018-12-21(美国),114分钟,大黄蜂大电影/大黄蜂独立电影/变形金刚外传：大黄蜂/变形金刚外传大黄蜂/BrightonFalls,tt4701182
死侍2：我爱我家,大卫·雷奇,瑞特·里斯/保罗·韦尼克/瑞恩·雷诺兹/杰克·科比/斯坦·李/罗伯·莱菲尔德/露易丝·西蒙森/莱恩·韦恩/克里斯·克雷蒙/戴夫·科克勒姆/法比安·尼切扎,瑞恩·雷诺兹/乔什·布洛林/朱利安·迪尼森/斯蒂芬·卡皮契奇/莎姬·贝兹/T·J·米勒/莱斯利·格塞斯/卡兰·索尼/布里安娜·希德布兰德/莫蕾娜·巴卡琳/杰克·凯西/埃迪·马森/忽那汐里/兰德尔·瑞德/尼古莱·维切尔/赛尔·哈里斯/罗伯·德兰尼/刘易斯·谭/比尔·斯卡斯加德/泰瑞·克鲁斯/布拉德·皮特/罗伯特·梅耶/艾伦·图代克/马特·达蒙/海莉·塞尔斯/麦克·多普德/卢克·勒斯勒尔/亨特·狄龙/大卫·雷奇/山姆·哈格雷夫/尼古拉斯·霍尔特,喜剧/动作/科幻/冒险,美国,英语,2019-01-25(中国大陆)/2018-05-18(美国),119分钟/134分钟(蓝光版),死侍2/死侍往事/死侍2：童话篇/DP2/OnceUponaDeadpool,tt5463162
蜘蛛侠：平行宇宙,鲍勃·佩尔西凯蒂/彼得·拉姆齐/罗德尼·罗斯曼,菲尔·罗德/罗德尼·罗斯曼/布莱恩·本迪斯/萨拉·皮凯利/史蒂夫·迪特寇/斯坦·李/戴维·海因/法布里斯·萨波尔斯基,沙梅克·摩尔/杰克·约翰逊/海莉·斯坦菲尔德/马赫沙拉·阿里/布莱恩·泰里·亨利/莉莉·汤姆林/劳伦·维勒斯/佐伊·克罗维兹/约翰·木兰尼/金可·格伦/尼古拉斯·凯奇/凯瑟琳·哈恩/列维·施瑞博尔/克里斯·派恩/娜塔丽·莫瑞丝/奥斯卡·伊萨克/格里塔·李/斯坦·李/乔玛·塔科内/华金·科西奥/蕾克·贝尔/梅勒妮·海恩斯/尼克·杰恩/穆尼卜·拉赫曼/卡洛斯·萨拉戈萨/黛西·罗斯·布莱内斯/里夫·霍顿/哈里森·奈特/莱克斯·朗/凯特琳·麦肯纳-威尔金森/斯科特·门维尔/克里斯托弗·米勒/德维卡·帕利赫/柯特妮·佩尔顿/克里斯蒂·法瑞斯/杰奎琳·皮诺尔/贾斯汀·沉卡罗/梅利莎·斯特姆,动作/科幻/动画/冒险,美国,英语/西班牙语,2018-12-21(中国大陆)/2018-12-14(美国),116分钟(中国大陆)/117分钟(美国)/143分钟(加长版),蜘蛛侠：新纪元/蜘蛛人：新宇宙(台)/蜘蛛侠：跳入蜘蛛宇宙(港)/蜘蛛侠：平行世界/Spider-Man:aNewUniverse,tt4633694
蚁人2：黄蜂女现身,佩顿·里德,克里斯·麦克纳/埃里克·萨默斯/保罗·路德/安德鲁·贝伦/加百利·法拉利,保罗·路德/伊万杰琳·莉莉/迈克尔·佩纳/汉娜·乔恩-卡门/沃尔顿·戈金斯/鲍比·坎纳瓦尔/朱迪·格雷尔/T.I./大卫·达斯马齐连/艾比·莱德·弗特森/兰道尔·朴/米歇尔·菲佛/劳伦斯·菲什伯恩/迈克尔·道格拉斯/戈兰·卡斯蒂克/罗布·阿切尔/肖恩·克莱尔/本·戴维斯/迈克尔·瑟沃瑞斯/达克斯·格里芬/海莉·洛维特/玛德琳·麦格劳/蒂姆·海德克/布莱恩·赫斯基/朱莉娅·维拉/布莱恩·卢戈/托里·沃格尔/汤姆·夏普林/斯坦·李/约瑟夫·阿梅/安迪·阿尼斯/威廉·W·巴伯/玛塞拉·布拉吉奥/塞尔吉奥·布里奥内斯/乔·布卡罗三世/蒂莫西·卡尔/贾迈尔·钱伯斯/扎卡里·卡伯森/雅各布·埃文斯/米歇尔·方/盖尔·甘布尔/克里斯·加恩/约翰·盖蒂尔/杰克·汉森/卡茜·亨德利,动作/科幻/冒险,美国,英语,2018-08-24(中国大陆)/2018-07-06(美国),118分钟/119分钟(中国大陆),蚁侠2：黄蜂女现身(港)/蚁人2/蚁人与黄蜂女/Ant-Man2,tt5095030
波西米亚狂想曲,布莱恩·辛格,安东尼·麦卡滕/皮特·摩根,拉米·马雷克/本·哈迪/约瑟夫·梅泽罗/格威利姆·李/艾伦·里奇/露西·宝通/艾丹·吉伦/汤姆·霍兰德/麦克·梅尔斯/阿隆·麦克卡斯克/梅内卡·达斯/迪基·博/蒂姆·普莱斯特/杰克·罗思/马克斯·班内特/基兰·哈德卡斯托/罗斯·格林/布鲁斯·麦克金伦/米歇尔·邓肯/马特·格林伍德/罗茜·本杰明/约翰·奥特曼/詹姆斯·华莱士/文森特·阿德里安/拉斯科·阿特金斯/乔纳森·奇塔姆/迈克尔·科布/耶稣·加洛/亚当·兰伯特/豪尔赫·莱昂·马丁内斯/杰森·莱恩斯/伊斯雷尔·鲁兹,剧情/音乐/传记,英国/美国,英语,2019-03-22(中国大陆)/2018-11-02(美国),135分钟/131分钟(中国大陆),波希米亚狂想曲：摇滚传说(港)/波希米亚狂想曲(台),tt1727824
海王,温子仁,大卫·莱斯利·约翰逊-麦戈德里克/威尔·比尔/乔夫·琼斯/温子仁/莫尔特·魏辛格/保罗·诺里斯,杰森·莫玛/艾梅柏·希尔德/威廉·达福/帕特里克·威尔森/妮可·基德曼/杜夫·龙格尔/叶海亚·阿卜杜勒-迈丁/特穆拉·莫里森/林路迪/迈克尔·比奇/兰道尔·朴/格拉汉姆·麦克泰维什/雷·沃纳尔/泰努伊·柯克伍德/塔穆尔·柯克伍德/丹泽尔·夸克/卡恩·古尔杜尔/奥蒂斯·丹吉/克考亚·克库毛诺/朱莉·安德鲁斯/约翰·瑞斯-戴维斯/杰曼·翰苏/索菲亚·福雷斯特/娜塔莉亚·姗福瑞/杰克·安德鲁/汉克·阿莫斯/帕特里克·考克斯/罗伯特·朗斯特里特/德维卡·帕利赫/梅布尔·塔莫内/文森特·B·拉戈斯/加布里埃拉·佩特科娃/爱丽丝·兰斯伯里/帕特里克·艾奇逊/约翰·盖蒂尔/塔丽亚·杰德·霍尔特/罗斯·克纳汉/布拉登·刘易斯/萨尔瓦多·梅伦达/山姆·莫纳汉/温妮·穆赞贝/凯·潘塔诺/安娜·帕奇/乔恩·奎斯蒂德/迪伦·斯图默/米奇·武尔夫,动作/奇幻/冒险,美国/澳大利亚,英语/毛利语/意大利语/俄语,2018-12-07(中国大陆)/2018-12-21(美国),143分钟,水行侠(港/台)/潜水侠/水人/人鱼哥(豆友译名),tt1477834
头号玩家,史蒂文·斯皮尔伯格,扎克·佩恩/恩斯特·克莱恩,泰伊·谢里丹/奥利维亚·库克/本·门德尔森/马克·里朗斯/丽娜·维特/森崎温/赵家正/西蒙·佩吉/T·J·米勒/汉娜·乔恩-卡门/拉尔夫·尹爱森/苏珊·林奇/克莱尔·希金斯/劳伦斯·斯佩尔曼/佩蒂塔·维克斯/艾萨克·安德鲁斯,动作/科幻/冒险,美国,英语/日语/汉语普通话,2018-03-30(中国大陆)/2018-03-11(西南偏南电影节)/2018-03-29(美国),140分钟,玩家一号/挑战者1号(港)/一级玩家(台)/一号玩家,tt1677720
