电影,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名,IMDb链接
美丽人生,罗伯托·贝尼尼,温琴佐·切拉米/罗伯托·贝尼尼,罗伯托·贝尼尼/尼可莱塔·布拉斯基/乔治·坎塔里尼/朱斯蒂诺·杜拉诺/赛尔乔·比尼·布斯特里克/玛丽萨·帕雷德斯/霍斯特·布赫霍尔茨/利迪娅·阿方西/朱利亚娜·洛约迪切/亚美利哥·丰塔尼/彼得·德·席尔瓦/弗朗西斯·古佐/拉法埃拉·莱博罗尼/克劳迪奥·阿方西/吉尔·巴罗尼/马西莫·比安奇/恩尼奥·孔萨尔维/吉安卡尔洛·科森蒂诺/阿伦·克雷格/汉尼斯·赫尔曼/弗兰科·梅斯科利尼/安东尼奥·普雷斯特/吉娜·诺维勒/理查德·塞梅尔/安德烈提多娜/迪尔克·范登贝格/奥梅罗·安东努蒂,剧情/喜剧/爱情/战争,意大利,意大利语/德语/英语,1997-12-20(意大利),116分钟/125分钟(加长版),一个快乐的传说(港)/LifeIsBeautiful,tt0118799
触不可及,奥利维埃·纳卡什/埃里克·托莱达诺,奥利维埃·纳卡什/埃里克·托莱达诺,弗朗索瓦·克鲁塞/奥玛·希/安娜·勒尼/奥德雷·弗勒罗/托马·索利韦尔,剧情/喜剧,法国,法语,2011-11-02(法国),112分钟,闪亮人生(港)/逆转人生(台)/无法触碰/最佳拍档/不可触碰/不可触摸/Untouchable/TheIntouchables,tt1675434
机器人总动员,安德鲁·斯坦顿,安德鲁·斯坦顿/吉姆·里尔顿/彼特·道格特,本·贝尔特/艾丽莎·奈特/杰夫·格尔林/佛莱德·威拉特/西格妮·韦弗/MacInTalk/约翰·拉岑贝格/凯茜·纳基麦/泰迪·牛顿/鲍伯·伯根/洛丽·理查德森/吉姆·瓦德/彼特·道格特/安德鲁·斯坦顿/杰夫·皮金/约翰·齐甘/米凯·麦高万/雪莉·琳恩/克莱特·惠特克/唐纳德·富利洛夫/罗里·艾伦/杰斯·哈梅尔/拉瑞恩·纽曼/扬·拉布森/保罗·伊丁,爱情/科幻/动画/冒险,美国,英语,2008-06-27(美国),98分钟,瓦力(台)/太空奇兵·威E(港)/星际总动员/地球废品分装员/机器人瓦力/walle,tt0910970
阿甘正传,罗伯特·泽米吉斯,艾瑞克·罗斯/温斯顿·格鲁姆,汤姆·汉克斯/罗宾·怀特/加里·西尼斯/麦凯尔泰·威廉逊/莎莉·菲尔德/海利·乔·奥斯蒙/迈克尔·康纳·亨弗里斯/HaroldG.Herthum/山姆·安德森/IoneM.Telech/彼得·道博森/希芳·法隆/ElizabethHanks/汉娜·豪尔/ChristopherJones/RobLandry/JasonMcGuire/桑尼·施罗耶/EdDavis/丹尼尔C.斯瑞派克/大卫·布里斯宾/DeborahMcTeer/AlHarrington/阿非莫·奥米拉/JohnVoldstad/MichaelBurgess/EricUnderwood/ByronMinns/斯蒂芬·布吉格沃特/JohnWilliamGalt/HilaryChaplain/IsabelRose/RichardD'Alessandro/DickStilwell/迈克尔-杰斯/杰弗里·布莱克/瓦妮莎·罗斯/迪克·卡维特/马拉·苏查雷特扎/JoeAlaskey/W.BensonTerry,剧情/爱情,美国,英语,1994-06-23(洛杉矶首映)/1994-07-06(美国),142分钟,福雷斯特·冈普,tt0109830
小偷家族,是枝裕和,是枝裕和,中川雅也/安藤樱/松冈茉优/城桧吏/佐佐木美结/树木希林/绪形直人/池松壮亮/森口瑶子/山田裕贵/片山萌美/柄本明/高良健吾/池胁千鹤,剧情/家庭/犯罪,日本,日语,2018-08-03(中国大陆)/2018-05-13(戛纳电影节)/2018-06-08(日本),117分钟(中国大陆)/121分钟,Shoplifters/UneAffairedeFamille/Manbikikazoku,tt8075192
龙猫,宫崎骏,宫崎骏,日高法子/坂本千夏/糸井重里/岛本须美/北林谷荣/高木均/雨笠利幸/丸山裕子/广濑正志/鹫尾真知子/铃木玲子/千叶繁/龙田直树/鳕子/西村朋纮/石田光子/神代知衣/中村大树/水谷优子/平松晶子/大谷育江,动画/奇幻/冒险,日本,日语,2018-12-14(中国大陆)/1988-04-16(日本),86分钟,邻居托托罗/邻家的豆豆龙/隔壁的特特罗/TonarinoTotoro/MyNeighborTotoro,tt0096283
这个杀手不太冷,吕克·贝松,吕克·贝松,让·雷诺/娜塔莉·波特曼/加里·奥德曼/丹尼·爱罗/彼得·阿佩尔/迈克尔·巴达鲁科/艾伦·格里尼/伊丽莎白·瑞根/卡尔·马图斯维奇/弗兰克·赛格/麦温/乔治·马丁/罗伯特·拉萨多/亚当·布斯奇/马里奥·托迪斯科/萨米·纳塞利,剧情/动作/犯罪,法国,英语/意大利语/法语,1994-09-14(法国),110分钟(剧场版)/133分钟(国际版),杀手莱昂/终极追杀令(台)/杀手里昂/Leon/Leon:TheProfessional,tt0110413
绿皮书,彼得·法雷里,尼克·瓦莱隆加/布莱恩·海耶斯·库瑞/彼得·法雷里,维果·莫腾森/马赫沙拉·阿里/琳达·卡德里尼/塞巴斯蒂安·马尼斯科/迪米特·D·马里诺夫/迈克·哈顿/P·J·伯恩/乔·柯蒂斯/玛姬·尼克松/冯·刘易斯/乔恩·索特兰/唐·斯达克/安东尼·曼加诺/保罗·斯隆/珍娜·劳伦索/肯尼斯·以色列/伊克博·塞巴/尼克·瓦莱隆加/大卫·安/迈克·切罗内/杰拉尔丁·辛格/马丁·巴特斯·布拉德福德/格拉伦·布莱恩特·班克斯/汤姆·维图/夏恩·帕特洛/丹尼斯·W·霍尔/吉姆·克洛克/戴恩·罗兹/布赖恩·斯特帕尼克/乔恩·迈克尔·戴维斯/布莱恩·海耶斯·库瑞/托尼亚·马尔多纳多,剧情/喜剧/传记,美国,英语/意大利语/俄语/德语,2019-03-01(中国大陆)/2018-09-11(多伦多电影节)/2018-11-16(美国),130分钟,绿簿旅友(港)/幸福绿皮书(台)/绿书,tt6966692
千与千寻,宫崎骏,宫崎骏,柊瑠美/入野自由/夏木真理/菅原文太/中村彰男/玉井夕海/神木隆之介/内藤刚志/泽口靖子/我修院达也/大泉洋/小林郁夫/上条恒彦/小野武彦,剧情/动画/奇幻,日本,日语,2001-07-20(日本),125分钟,神隐少女(台)/SpiritedAway/AVoyageofChihiro/SentoChihironokamikakushi,tt0245429
你的名字。,新海诚,新海诚,神木隆之介/上白石萌音/长泽雅美/市原悦子/成田凌/悠木碧/岛崎信长/石川界人/谷花音/寺杣昌纪/大原沙耶香/井上和彦/茶风林/加藤有花/花泽香菜/寺崎裕香,剧情/爱情/动画,日本,日语,2016-12-02(中国大陆)/2016-08-26(日本),106分钟,你的名字/君之名/YourName/Kiminonawa.,tt5311514
肖申克的救赎,弗兰克·德拉邦特,弗兰克·德拉邦特/斯蒂芬·金,蒂姆·罗宾斯/摩根·弗里曼/鲍勃·冈顿/威廉姆·赛德勒/克兰西·布朗/吉尔·贝罗斯/马克·罗斯顿/詹姆斯·惠特摩/杰弗里·德曼/拉里·布兰登伯格/尼尔·吉恩托利/布赖恩·利比/大卫·普罗瓦尔/约瑟夫·劳格诺/祖德·塞克利拉/保罗·麦克兰尼/芮妮·布莱恩/阿方索·弗里曼/V·J·福斯特/弗兰克·梅德拉诺/马克·迈尔斯/尼尔·萨默斯/耐德·巴拉米/布赖恩·戴拉特/唐·麦克马纳斯,剧情/犯罪,美国,英语,1994-09-10(多伦多电影节)/1994-10-14(美国),142分钟,月黑高飞(港)/刺激1995(台)/地狱诺言/铁窗岁月/消香克的救赎,tt0111161
奇迹男孩,斯蒂芬·卓博斯基,斯蒂芬·卓博斯基/斯蒂夫·康拉德/杰克·索恩/R·J·帕拉西奥,雅各布·特伦布莱/朱莉娅·罗伯茨/伊扎贝拉·维多维奇/欧文·威尔逊/诺亚·尤佩/丹妮尔·罗丝·拉塞尔/纳吉·杰特/戴维德·迪格斯/曼迪·帕廷金/布莱斯·吉扎尔/艾尔·麦金农/泰·孔西利奥/詹姆斯·休斯/凯尔·布瑞特科夫/米莉·戴维斯/莉娅·朱厄特/凯琳·布瑞特科夫/利亚姆·迪金森/艾玛·特伦布莱/马克·多兹劳/鲁奇娅·伯纳德/J·道格拉斯·斯图瓦特/阿里·利伯特/埃丽卡·麦基特里克/本杰明·拉特纳/杰森·麦金农/索尼娅·布拉加/吉洁特,剧情/家庭/儿童,美国/香港,英语,2018-01-19(中国大陆)/2017-11-17(美国),113分钟/114分钟(中国大陆),奇迹,tt2543472
怦然心动,罗伯·莱纳,罗伯·莱纳/安德鲁·沙因曼/文德琳·范·德拉安南,玛德琳·卡罗尔/卡兰·麦克奥利菲/瑞贝卡·德·莫妮/安东尼·爱德华兹/约翰·马奥尼/佩内洛普·安·米勒/艾丹·奎因/凯文·韦斯曼/摩根·莉莉/瑞安·克茨纳/吉莉安·普法夫/迈克尔·博萨/博·勒纳/杰奎琳·埃沃拉/泰勒·格鲁秀斯/艾莉·布莱恩特/阿什莉·泰勒/伊瑟尔·布罗萨德/科迪·霍恩/迈克尔·博尔顿/肖恩·哈珀/斯戴芬妮·斯考特/帕特丽夏·伦茨/马修·戈尔德/阿罗拉·凯瑟琳·史密斯/凯莉·唐纳利/索菲亚·撒高/米歇尔·梅斯默/ScottJoelGizicki/RodMyers/KaraPacitto/KatelynPacitto,剧情/喜剧/爱情,美国,英语,2010-07-26(好莱坞首映)/2010-09-10(美国),90分钟,萌动青春/青春萌动/冒失/梧桐树之恋,tt0817177
忠犬八公的故事,拉斯·霍尔斯道姆,斯蒂芬·P·林赛/新藤兼人,理查·基尔/萨拉·罗默尔/琼·艾伦/罗比·萨布莱特/艾瑞克·阿瓦利/田川洋行/杰森·亚历山大/罗伯特·卡普荣,剧情,美国/英国,英语/日语,2009-06-13(西雅图电影节)/2010-03-12(英国),93分钟,忠犬小八(台)/秋田犬八千(港)/忠犬传奇,tt1028532
情书,岩井俊二,岩井俊二,中山美穗/丰川悦司/酒井美纪/柏原崇/范文雀/篠原胜之/铃木庆一/田口智朗/加贺麻理子/光石研/铃木兰兰/盐见三省/中村久美/梅田凡乃/长田江身子/小栗香织/神户浩/酒井敏也/山口诗史/山崎一/德井优/武藤寿美,剧情/爱情,日本,日语,1999-03(中国大陆)/1995-03-25(日本),117分钟,WhenICloseMyEyes/LettersofLove,tt0113703
放牛班的春天,克里斯托夫·巴拉蒂,乔治·沙普罗/勒·惠勒/诺埃-诺尔/克里斯托夫·巴拉蒂/菲利普·洛佩斯-屈瓦尔,热拉尔·朱尼奥/弗朗索瓦·贝莱昂/凯德·麦拉德/让-保罗·博奈雷/玛丽·布奈尔/让-巴蒂斯特·莫尼耶/马科森斯·珀林/格雷戈里·加迪诺尔/托马斯·布伦门塔尔/西里尔·伯尔尼科特/西蒙·法戈特/泰奥杜尔·卡雷-卡赛尼/菲利普·杜·詹纳兰德/埃里克·德斯玛莱茨/狄迪尔·弗拉蒙/雅克·贝汉,剧情/音乐,法国/瑞士/德国,法语,2004-10-16(中国大陆)/2004-03-17(法国),97分钟,歌声伴我心(港)/唱诗班男孩/TheChorus,tt0372824
大黄蜂,特拉维斯·奈特,克里斯蒂娜·霍德森,海莉·斯坦菲尔德/小豪尔赫·兰登伯格/约翰·塞纳/杰森·德鲁克/帕梅拉·阿德龙/斯蒂芬·施耐德/里卡多·霍约斯/约翰·奥提兹/格林·特鲁曼/兰·卡琉/格蕾丝·达斯恩妮/弗里德·杜莱尔/蓝尼·雅各布森/梅金·普莱斯/萨钦·巴特/蒂姆·马丁·格里森/安东尼奥·查丽蒂/艾德文·霍德吉/拉斯·斯兰德/迪伦·奥布莱恩/彼特·库伦/安吉拉·贝塞特/贾斯汀·塞洛克斯/大卫·索博洛夫/格蕾·德丽斯勒/史蒂夫·布卢姆/安德鲁·莫尔加多/威廉·W·巴伯/罗伯特·切斯纳特/米歇尔·方/克里斯蒂安·哈切森/里克·理查森/瓦内萨·罗斯/波士顿·拉什·弗里曼/托尼·托斯特/迪娜·特鲁迪/艾蒂安·维克,动作/科幻/冒险,美国/中国大陆,英语,2019-01-04(中国大陆)/2018-12-21(美国),114分钟,大黄蜂大电影/大黄蜂独立电影/变形金刚外传：大黄蜂/变形金刚外传大黄蜂/BrightonFalls,tt4701182
阳光姐妹淘,姜炯哲,姜炯哲,沈恩京/闵孝琳/姜素拉/南宝拉/陈熙京/金时厚/柳好贞/朴真珠/金甫美/千禹熙/李璟荣,剧情/喜剧,韩国,韩语,2011-05-04(韩国),124分钟/135分钟(导演剪辑版),阳光姊妹淘(港)/桑尼/阳光/永远的七公主/Sunny,tt1937339
熔炉,黄东赫,孔枝泳/黄东赫,孔侑/郑有美/金志映/金贤秀/郑仁絮/白承焕/张光/严孝燮,剧情,韩国,韩语,2011-09-22(韩国),125分钟,无声呐喊(港)/漩涡/Silenced/TheCrucible,tt2070649
