电影,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名,IMDb链接
三生三世十里桃花,赵小丁/安东尼·拉默里纳拉,李晗/刘晗/麦灵/张亚亮/唐七,刘亦菲/杨洋/罗晋/严屹宽/李纯/顾璇/陈佩斯/彭子苏/张贺茗/王羽铮/塔拉,爱情/奇幻,中国大陆,汉语普通话,2017-08-03(中国大陆),109分钟,OnceUponaTime,tt6138688
二代妖精之今生有幸,肖洋,肖洋/郭异雯,冯绍峰/刘亦菲/李光洁/郭京飞/焦俊艳/熊乃瑾/王双宝/张子贤/朱捷/陈芋米/范湉湉/隋凯/崔名扬,喜剧/爱情/奇幻,中国大陆,汉语普通话,2017-12-29(中国大陆),110分钟,二代妖精/一代妖精/一代妖精电影版/HansonandtheBeast/动物管理局/妖怪管理局,tt7787418
后来的我们,刘若英,袁媛/何昕明/潘彧/安巍/刘若英,井柏然/周冬雨/田壮壮/曲哲明/刘启恒/苏小明/邹倚天/张子贤/施予斐/李剑青,剧情/爱情,中国大陆,汉语普通话,2018-04-28(中国大陆),120分钟,UsandThem,tt8033592
水形物语,吉尔莫·德尔·托罗,吉尔莫·德尔·托罗/瓦内莎·泰勒,莎莉·霍金斯/道格·琼斯/迈克尔·珊农/理查德·詹金斯/奥克塔维亚·斯宾瑟/迈克尔·斯图巴/大卫·休莱特/尼克·西塞/斯图尔特·阿诺特/尼格尔·本内特/劳伦·李·史密斯/马丁·罗奇/阿莱格拉·富尔顿/约翰·卡普洛斯/摩根·凯利/马文·凯伊/德鲁·维尔戈维尔,剧情/爱情/奇幻,美国,英语/美国手语/俄语,2018-03-16(中国大陆)/2017-08-31(威尼斯电影节)/2017-12-01(美国),123分钟,忘形水(港)/水底情深(台)/水形奇缘/水之形/水的形状/水无常形,tt5580390
你好，之华,岩井俊二,岩井俊二,周迅/秦昊/杜江/张子枫/邓恩熙/边天扬/吴彦姝/谭卓/胡歌/胡昌霖/李春明/穆龙/刘靖宇/高炳然/白素娟/刘思博/常海波/李勇/刘笑语/赵芙丽/建圳/郭德诚/王靖宇/孙萍/李泽宇/仇硕康/艺涵/李昊芳/王子璇/王远达/于建波/张俊宇,剧情/爱情,中国大陆,汉语普通话,2018-11-09(中国大陆),114分钟,之华/LastLetter,tt9078374
无问西东,李芳芳,李芳芳,章子怡/黄晓明/张震/王力宏/陈楚生/铁政/祖峰/米雪/王盛德/韩童生/王鑫/郑铮/章泽天/黄梦莹/林美秀/保罗·菲利普·克拉克/胡家华/伊娜/吴谨言/纪帅/王天泽/伍麟凯/都金翰,剧情/爱情/战争,中国大陆,汉语普通话,2018-01-12(中国大陆),138分钟,ForeverYoung,tt2401825
爱你，西蒙,格里格·伯兰蒂,伊丽莎白·伯格/艾萨克·阿普塔克/贝奇·艾伯特利,尼克·罗宾森/詹妮弗·加纳/乔什·杜哈明/小豪尔赫·兰登伯格/凯瑟琳·兰福德/亚历山德拉·希普/洛根·米勒/凯南·朗斯代尔/特丽莎·贝特曼/托尼·海尔/娜塔莎·罗斯韦尔/迈尔斯·赫尔泽/乔伊·保罗瑞/克拉克·穆尔/德鲁·斯塔基/麦肯兹·林茨/卡萨迪·麦克林西/艾莉克斯·斯甘巴蒂/贾米拉·汤普森/艾米丽·乔丹/帕特里克·多诺霍/特雷勒·希尔/泰勒·切斯/哈龙·汗/约书亚·米克尔/尼古拉斯·斯塔格尔/南茜·德·梅奥/克里斯蒂安·奥乔·梅菲尔德/钱特尔·D·克里斯托弗/曼迪·法森/菲利普·科文/罗比·罗杰斯,爱情/同性,美国,英语,2018-03-16(美国),110分钟,亲爱的初恋(台)/抱抱我的初恋(港)/西蒙和他的出柜日记/爱你的西蒙/爱，赛蒙,tt5164432
遇见女孩的感觉,雪莉·乔普拉·达尔,加扎勒·达利沃尔/雪莉·乔普拉·达尔,亚尼·卡普/玖熹·查瓦拉/索娜姆·卡普尔/拉吉·库玛/雷吉娜·卡桑德拉/马杜马蒂·卡普尔/阿明·阿卜杜勒·奎德/莎拉·阿尔琼,剧情/喜剧/爱情,印度,印地语,2019-02-01(印度),120分钟,"WhenISawaGirl,ThisisHowIFelt",tt8108164
当哈利遇到莎迦,伊姆提阿兹·阿里,,沙鲁克·汗/安努舒卡·莎玛/沙尤尼·古普塔,剧情/爱情,印度,印地语,2017-08-04(印度),143分钟,Rahnuma/哈利遇見夏左(台)/寶萊塢之愛我別走(台),tt5997666
现在去见你,李章焄,李章焄/姜秀贞/市川拓司,苏志燮/孙艺珍/金智焕/金贤秀/李有镇/高昌锡/李俊赫/孙云恩/裴侑蓝,剧情/爱情/奇幻,韩国,韩语,2018-03-14(韩国),132分钟,雨你再次相遇(台)/借着雨点说爱你(港)/现在，很想见你/BewithYou,tt8092252
