电影,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名,IMDb链接
蜘蛛侠：平行宇宙,鲍勃·佩尔西凯蒂/彼得·拉姆齐/罗德尼·罗斯曼,菲尔·罗德/罗德尼·罗斯曼/布莱恩·本迪斯/萨拉·皮凯利/史蒂夫·迪特寇/斯坦·李/戴维·海因/法布里斯·萨波尔斯基,沙梅克·摩尔/杰克·约翰逊/海莉·斯坦菲尔德/马赫沙拉·阿里/布莱恩·泰里·亨利/莉莉·汤姆林/劳伦·维勒斯/佐伊·克罗维兹/约翰·木兰尼/金可·格伦/尼古拉斯·凯奇/凯瑟琳·哈恩/列维·施瑞博尔/克里斯·派恩/娜塔丽·莫瑞丝/奥斯卡·伊萨克/格里塔·李/斯坦·李/乔玛·塔科内/华金·科西奥/蕾克·贝尔/梅勒妮·海恩斯/尼克·杰恩/穆尼卜·拉赫曼/卡洛斯·萨拉戈萨/黛西·罗斯·布莱内斯/里夫·霍顿/哈里森·奈特/莱克斯·朗/凯特琳·麦肯纳-威尔金森/斯科特·门维尔/克里斯托弗·米勒/德维卡·帕利赫/柯特妮·佩尔顿/克里斯蒂·法瑞斯/杰奎琳·皮诺尔/贾斯汀·沉卡罗/梅利莎·斯特姆,动作/科幻/动画/冒险,美国,英语/西班牙语,2018-12-21(中国大陆)/2018-12-14(美国),116分钟(中国大陆)/117分钟(美国)/143分钟(加长版),蜘蛛侠：新纪元/蜘蛛人：新宇宙(台)/蜘蛛侠：跳入蜘蛛宇宙(港)/蜘蛛侠：平行世界/Spider-Man:aNewUniverse,tt4633694
蜘蛛侠：英雄归来,乔·沃茨,约翰·弗朗西斯·戴利/史蒂夫·迪特寇/乔纳森·M·戈尔茨坦/斯坦·李,汤姆·赫兰德/小罗伯特·唐尼/玛丽莎·托梅/迈克尔·基顿/雅各布·巴特朗/托尼·雷沃罗利/赞达亚/乔恩·费儒/亚伯拉罕·阿塔哈/劳拉·哈里尔/迈克尔·巴尔别里/罗根·马歇尔-格林/马丁·斯塔尔/唐纳德·格洛弗/汉尼拔·布勒斯/迈克尔·曼多/博基姆·伍德拜因/肯尼斯·崔/詹妮弗·康纳利/格温妮斯·帕特洛/克里斯·埃文斯,动作/科幻/冒险,美国,英语,2017-09-08(中国大陆)/2017-06-28(洛杉矶首映)/2017-07-07(美国),133分钟,蜘蛛侠：强势回归(港)/蜘蛛人：返校日(台)/新蜘蛛侠/蜘蛛侠：归来/蜘蛛侠：回家/蜘蛛侠：返校季/蜘蛛侠：返校节/蜘蛛侠：归乡/蜘蛛侠：新复仇者/TheAmazingSpider-Man3/Spider-Man:TheNewAvenger/Spiderman,tt2250912
大黄蜂,特拉维斯·奈特,克里斯蒂娜·霍德森,海莉·斯坦菲尔德/小豪尔赫·兰登伯格/约翰·塞纳/杰森·德鲁克/帕梅拉·阿德龙/斯蒂芬·施耐德/里卡多·霍约斯/约翰·奥提兹/格林·特鲁曼/兰·卡琉/格蕾丝·达斯恩妮/弗里德·杜莱尔/蓝尼·雅各布森/梅金·普莱斯/萨钦·巴特/蒂姆·马丁·格里森/安东尼奥·查丽蒂/艾德文·霍德吉/拉斯·斯兰德/迪伦·奥布莱恩/彼特·库伦/安吉拉·贝塞特/贾斯汀·塞洛克斯/大卫·索博洛夫/格蕾·德丽斯勒/史蒂夫·布卢姆/安德鲁·莫尔加多/威廉·W·巴伯/罗伯特·切斯纳特/米歇尔·方/克里斯蒂安·哈切森/里克·理查森/瓦内萨·罗斯/波士顿·拉什·弗里曼/托尼·托斯特/迪娜·特鲁迪/艾蒂安·维克,动作/科幻/冒险,美国/中国大陆,英语,2019-01-04(中国大陆)/2018-12-21(美国),114分钟,大黄蜂大电影/大黄蜂独立电影/变形金刚外传：大黄蜂/变形金刚外传大黄蜂/BrightonFalls,tt4701182
侏罗纪世界2,胡安·安东尼奥·巴亚纳,科林·特雷沃罗/德里克·康纳利/迈克尔·克莱顿,克里斯·帕拉特/布莱丝·达拉斯·霍华德/贾斯蒂斯·史密斯/伊莎贝拉·瑟蒙/拉菲·斯波/托比·琼斯/泰德·拉文/詹姆斯·克伦威尔/黄荣亮/丹妮艾拉·皮内达/杰拉丁·卓别林/杰夫·高布伦/卡米尔·雷米泽斯基/丹尼尔·斯蒂森/皮特·杰森/迈克尔·帕帕约翰/罗伯特·埃姆斯/罗南·萨莫尔斯/麦克斯·贝克/丹尼尔·厄根/戴维·奥拉瓦莱·阿印德,动作/科幻/冒险,美国/西班牙,英语,2018-06-15(中国大陆)/2018-06-22(美国),128分钟,侏罗纪世界：殒落国度(台)/侏罗纪世界：迷失国度(港)/侏罗纪世界2：失落王国/侏罗纪世界2：堕落王国/侏罗纪公园5/JurassicPark5/JurassicWorld2,tt4881806
阿丽塔：战斗天使,罗伯特·罗德里格兹,詹姆斯·卡梅隆/莱塔·卡罗格里迪斯/木城幸人,罗莎·萨拉查/克里斯托弗·沃尔兹/基恩·约翰逊/艾德·斯克林/马赫沙拉·阿里/詹妮弗·康纳利/杰基·厄尔·哈利/拉娜·康多/小豪尔赫·兰登伯格/艾莎·冈萨雷斯/卡斯帕·凡·迪恩/米歇尔·罗德里格兹/爱德华·诺顿/杰夫·法赫/山姆·麦地那/德里克·梅耶斯/艾丽·拉蒙特/豪尔赫·A·希门尼斯/马克·扎罗/比利·布莱尔/伦纳德·吴/特里斯坦·里格斯/迈克尔·洛夫·托利弗/金/达塞尔·丹妮尔/马克·A·怀特,动作/科幻/冒险,美国/加拿大/阿根廷,英语/西班牙语,2019-02-22(中国大陆)/2019-02-05(台湾)/2019-02-14(美国),122分钟,铳梦/铳梦：战斗天使(港)/艾莉塔：战斗天使(台),tt0437086
银翼杀手2049,丹尼斯·维伦纽瓦,汉普顿·范彻/迈克尔·格林/菲利普·迪克,瑞恩·高斯林/哈里森·福特/安娜·德·阿玛斯/西尔维娅·侯克斯/罗宾·怀特/杰瑞德·莱托/戴夫·巴蒂斯塔/麦肯兹·戴维斯/卡拉·朱里/爱德华·詹姆斯·奥莫斯/巴克德·阿巴蒂/大卫·达斯马齐连/西娅姆·阿巴斯/连尼·詹姆斯/马克·阿诺德/肖恩·杨,剧情/科幻/惊悚,美国/加拿大/英国,英语/芬兰语/日语/匈牙利语/俄语/索马里语,2017-10-27(中国大陆)/2017-10-06(美国),163分钟/162分钟(中国大陆),银翼杀手2/BladeRunner2,tt1856101
假面骑士平成世代 FINAL Build & EX-AID with 传说骑士,上堀内佳寿也,武藤将吾/高橋悠也,犬饲贵丈/饭岛宽骑/渡部秀/福士苍汰/佐野岳/西铭骏/赤楚卫二/高田夏帆/濑户利树/松本享恭/岩永彻也/松田流花/小野塚勇人/甲斐翔真/三浦涼介/水上剑星/前川泰之/大槻贤二/木山廉彬/泷裕可里/黑崎莉奈/田中卓志/土屋紫苑,动作/科幻,日本,日语,2017-12-09(日本),91分钟,KamenRiderHeiseiGenerationsFinal:BUILD&EX-AIDwithLegendRiders,tt7472924
蚁人2：黄蜂女现身,佩顿·里德,克里斯·麦克纳/埃里克·萨默斯/保罗·路德/安德鲁·贝伦/加百利·法拉利,保罗·路德/伊万杰琳·莉莉/迈克尔·佩纳/汉娜·乔恩-卡门/沃尔顿·戈金斯/鲍比·坎纳瓦尔/朱迪·格雷尔/T.I./大卫·达斯马齐连/艾比·莱德·弗特森/兰道尔·朴/米歇尔·菲佛/劳伦斯·菲什伯恩/迈克尔·道格拉斯/戈兰·卡斯蒂克/罗布·阿切尔/肖恩·克莱尔/本·戴维斯/迈克尔·瑟沃瑞斯/达克斯·格里芬/海莉·洛维特/玛德琳·麦格劳/蒂姆·海德克/布莱恩·赫斯基/朱莉娅·维拉/布莱恩·卢戈/托里·沃格尔/汤姆·夏普林/斯坦·李/约瑟夫·阿梅/安迪·阿尼斯/威廉·W·巴伯/玛塞拉·布拉吉奥/塞尔吉奥·布里奥内斯/乔·布卡罗三世/蒂莫西·卡尔/贾迈尔·钱伯斯/扎卡里·卡伯森/雅各布·埃文斯/米歇尔·方/盖尔·甘布尔/克里斯·加恩/约翰·盖蒂尔/杰克·汉森/卡茜·亨德利,动作/科幻/冒险,美国,英语,2018-08-24(中国大陆)/2018-07-06(美国),118分钟/119分钟(中国大陆),蚁侠2：黄蜂女现身(港)/蚁人2/蚁人与黄蜂女/Ant-Man2,tt5095030
太空生活,克莱尔·德尼,克莱尔·德尼/让-波尔·法尔戈/GeoffCox/NickLaird,罗伯特·帕丁森/朱丽叶·比诺什/安德雷·本杰明/米娅·高斯/拉斯·艾丁格/阿加塔·布泽克/克莱尔·陈/伊万·米切尔/维克多·班纳杰/GloriaObianyo,剧情/科幻,德国/法国/英国/波兰/美国,英语,2018-09-09(多伦多电影节)/2019-04-12(美国),113分钟,高大人生,tt4827558
正义联盟,扎克·施奈德,扎克·施奈德/克里斯·特里奥/乔斯·韦登/比尔·芬格/鲍勃·凯恩/乔·舒斯特/杰里·西格尔/威廉·马斯顿,本·阿弗莱克/亨利·卡维尔/盖尔·加朵/埃兹拉·米勒/杰森·莫玛/雷·费舍尔/杰瑞米·艾恩斯/艾米·亚当斯/戴安·琳恩/康妮·尼尔森/J·K·西蒙斯/塞伦·希德/艾梅柏·希尔德/乔·莫顿/丽莎·洛文·孔斯利/大卫·休里斯/迈克尔·麦克埃尔哈顿/理查德·克里弗特/英格瓦·埃盖特·西古德松/比利·克鲁德普/赛吉·康斯坦斯/乔·曼根尼罗/杰西·艾森伯格,动作/科幻/奇幻/冒险,美国,英语/冰岛语/俄语,2017-11-17(美国/中国大陆),120分钟,TheJusticeLeaguePartOne/JusticeLeagueMortal/JusticeLeagueofAmerica,tt0974015
