电影,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名,IMDb链接
我身体里的那个家伙,姜孝镇,申汉率/赵重勋/姜孝镇,郑真英/朴圣雄/罗美兰/李垂珉/李俊赫/金光奎/闵智雅/尹敬浩/金贤莫/朴庆惠,剧情/喜剧,韩国,韩语,2019-01-09(韩国),122分钟,我里面的那家伙(台)/InsideMe/TheDudeinMe,tt9759978
魔女,朴勋政,朴勋政,金多美/赵敏修/朴熙顺/崔宇植/高敏诗/吴美姬/崔政宇/多恩/金秉玉/李柱元/金河娜/李基英/权泰元/李时勋/白承哲/袁民奎/金宗勋/徐翰洁,动作/悬疑,韩国,韩语,2018-06-27(韩国),125分钟,魔女首部曲：诞生(台)/魔女首部曲：毀坏(港)/TheWitch:Part1.TheSubversion,tt8574252
国家破产之日,崔国熙,严成民,金惠秀/刘亚仁/许峻豪/赵宇镇/文森特·卡索,剧情,韩国,韩语,2018-11-28(韩国),114分钟,救韩大时代(港)/分秒币争(台)/国家不渡之日/NationalBankruptcyDay/SovereignDefault/Default,tt7233726
小森林,林顺礼,黄成求,金泰梨/柳俊烈/文素丽/秦基周/国志龙/郑浚远,剧情,韩国,韩语,2018-02-28(韩国),103分钟,LittleForest,tt6083230
摇摆狂潮,姜炯哲,姜炯哲,都暻秀/朴慧秀/吴政世/金民浩/朴真珠/白仁权/杰瑞德·格里姆斯/罗斯·凯特尔,剧情/歌舞/战争,韩国,韩语,2018-12-19(韩国),133分钟,摇摆男孩(台)/劲舞Dancing癫(港)/陆基秀/SwingKids,tt7046974
极限职业,李炳宪,裴世英,柳承龙/李东辉/李荷妮/陈善圭/申河均,喜剧/动作/犯罪,韩国,韩语,2019-01-23(韩国),111分钟,炸鸡特攻队(港)/鸡不可失(台)/极端职业/极限行业/ExtremeJob,tt9541602
燃烧,李沧东,李沧东/吴政美/村上春树,刘亚仁/史蒂文·元/全钟瑞/金秀京/崔承浩/玉子妍,剧情/悬疑,韩国,韩语,2018-05-16(戛纳电影节)/2018-05-17(韩国),148分钟,烧失乐园(港)/燃烧烈爱(台)/烧仓房(原著)/Burning/Beoning,tt7282468
特工,尹钟彬,尹钟彬,黄政民/李星民/赵震雄/朱智勋,剧情,韩国,韩语/汉语普通话/日语,2018-05-11(戛纳电影节)/2018-08-08(韩国),137分钟,北风(台)/北寒谍战(港)/工作/TheSpyGoneNorth/Gongjak,tt8290698
杀人者的记忆法,元新渊,黄肇允/元新渊/金英夏,薛耿求/金南佶/金雪炫/吴达洙/蔡国熙/郑仁谦/申基俊/申隣雅/黄锡晶/吉海妍,剧情/悬疑/惊悚/犯罪,韩国,韩语,2017-09-06(韩国),118分钟/128分钟(导演剪辑版),杀人者的记忆法：新的记忆/MemoirofMurderer,tt5729348
与神同行2：因与缘,金容华,金容华,河正宇/朱智勋/马东锡/金香起/李政宰/赵汉哲/金明坤/金东旭/郑惟安/都暻秀,动作/奇幻,韩国,韩语,2018-08-01(韩国),142分钟,与神同行：终极审判(港)/与神同行：最终审判(台)/与神同行2：因与果/与神同行下/和神一起2/与神同在2/与神一起2/AlongWiththeGods:TheLast49Days/AlongWiththeGods2,tt8116428
