,电影,类型,导演,主演
0,唐人街探案2,喜剧/动作/悬疑/犯罪,陈思诚,王宝强/刘昊然/肖央/刘承羽/尚语贤/王迅/妻夫木聪/迈克尔·皮特/白灵/元华/曾江/王成思/杨金赐/范湉湉/佟丽娅/陈思诚
1,动物世界,剧情/动作/冒险,韩延,李易峰/迈克尔·道格拉斯/周冬雨/曹炳琨/王戈/苏可
2,邪不压正,剧情/喜剧/动作,姜文,彭于晏/廖凡/姜文/周韵/许晴/泽田谦也/安地/史航/李梦/丁嘉丽/陈曦
3,疯狂的外星人,喜剧/科幻,宁浩,黄渤/沈腾/汤姆·派福瑞/马修·莫里森/徐峥/于和伟/雷佳音/刘桦/邓飞/蔡明凯/王戈/凯特·纳尔逊/王砚伟/呲路
4,过春天,剧情,白雪,黄尧/孙阳/汤加文/倪虹洁/江美仪/廖启智/焦刚
5,西虹市首富,喜剧,闫非/彭大魔,沈腾/宋芸桦/张一鸣/张晨光/常远/魏翔/赵自强/九孔/李立群/王成思/徐冬冬/艾伦/杨皓宇/黄才伦/王力宏/包贝尔/郎咸平/张绍刚/杨文哲/陶亮/王赞/黄杨/刘鉴/杨沅翰/林炳宝/骆佳/陈昊明/臧一人
6,白蛇：缘起,爱情/动画/奇幻,黄家康/赵霁,张喆/杨天翔/唐小喜/刘薇/张遥函/郑小璞/张博恒/张赫/马程/程寅/陈霖生/惠龙/林强/章斌
7,飞驰人生,喜剧,韩寒,沈腾/黄景瑜/尹正/张本煜/尹昉/田雨/魏翔/赵文瑄/腾格尔/易小星/李庆誉/高华阳/刘帅良/李玲玉/何穗/潘晓婷/田沅/李春嫒/冯绍峰
8,一出好戏,剧情/喜剧,黄渤,黄渤/舒淇/王宝强/张艺兴/于和伟/王迅/李勤勤/李又麟/宁浩/管虎/梁静/徐峥/陈德森/张磊
9,无双,剧情/动作/悬疑/犯罪,庄文强,周润发/郭富城/张静初/冯文娟/廖启智/周家怡/王耀庆/方中信/高捷/邢佳栋/张松枝/张建声/吴嘉龙/孙佳君
10,我不是药神,剧情/喜剧,文牧野,徐峥/王传君/周一围/谭卓/章宇/杨新鸣/王佳佳/王砚辉/贾晨飞/龚蓓苾/宁浩/李乃文/岳小军/苇青/富冠铭/巴拉特·巴蒂/喜利图/张海艳/朱耕佑
11,无名之辈,剧情/喜剧,饶晓志,陈建斌/任素汐/潘斌龙/章宇/王砚辉/九孔/马吟吟/程怡/宁桓宇/邓恩熙/谢波/范翔/赵梓冲/史策/马睿瀚/林海/邓钢
12,芳华,剧情/历史/战争,冯小刚,黄轩/苗苗/钟楚曦/杨采钰/李晓峰/王天辰/王可如/隋源/张仁博/苏岩/张国立/赵立新
