index:ID,director,:LABEL
20001,谷口悟朗,导演
20002,埃里克·布雷斯,导演
20003,AlexHaughey,导演
20004,克里斯蒂安·瑞沃斯,导演
20005,곽영근,导演
20006,KarenDisher,导演
20007,许宏宇,导演
20008,朱利叶斯·约拿,导演
20009,罗伯·明可夫,导演
20010,大卫·林奇,导演
20011,拉希·阿尼尔·巴夫,导演
20012,杨永春,导演
20013,彼德·卡索维茨,导演
20014,斯科特·摩西尔,导演
20015,许警文,导演
20016,三浦大辅,导演
20017,张毅,导演
20018,金秉祐,导演
20019,成濑巳喜男,导演
20020,哈罗德·雷米斯,导演
20021,莉莉·沃卓斯基,导演
20022,周全,导演
20023,凯伦·孟可芙,导演
20024,连姆·O·达诺,导演
20025,山田尚子,导演
20026,卡米拉·瑟曼,导演
20027,罗伯·莱纳,导演
20028,琳恩·拉姆塞,导演
20029,拜伦·霍华德,导演
20030,勝間田具治,导演
20031,J.P.Dutta,导演
20032,谢晋,导演
20033,石田祐康,导演
20034,杰森·斯通,导演
20035,罗勒·莎菲,导演
20036,克里斯托弗·列昂,导演
20037,李锡根,导演
20038,钱泠泠,导演
20039,英格玛·伯格曼,导演
20040,丹尼斯·维伦纽瓦,导演
20041,立川让,导演
20042,皮埃尔·沙尔瓦多利,导演
20043,张立嘉,导演
20044,松永大司,导演
20045,中田秀夫,导演
20046,伊藤尚往,导演
20047,理查德·斯塔扎克,导演
20048,伊丹十三,导演
20049,保罗·施拉德,导演
20050,李韩昱,导演
20051,罗布·格林伯格,导演
20052,水崎淳平,导演
20053,雷德利·斯科特,导演
20054,森田宏幸,导演
20055,伊桑·斯波尔丁,导演
20056,温子仁,导演
20057,万籁鸣,导演
20058,马塞尔·吉斯莱,导演
20059,桥口亮辅,导演
20060,山姆·伍德,导演
20061,板尾创路,导演
20062,张大鹏,导演
20063,克雷格·吉勒斯佩,导演
20064,罗伯特·泽米吉斯,导演
20065,PatrickMagee,导演
20066,松太加,导演
20067,亚当·艾略特,导演
20068,이창희,导演
20069,谢雷·福克森,导演
20070,加斯帕·诺,导演
20071,帕特里克·英伯特,导演
20072,米歇尔·阿扎纳维西于斯,导演
20073,莫里斯·恩格尔,导演
20074,李濬益,导演
20075,布茨·赖利,导演
20076,王丹,导演
20077,加仑·T·楚,导演
20078,达米安·斯兹弗隆,导演
20079,新海诚,导演
20080,FedericoD'Alessandro,导演
20081,亚历杭德罗·戈麦斯·蒙特维尔德,导演
20082,德米安·鲁格纳,导演
20083,彼得·杰克逊,导演
20084,吴兆麟,导演
20085,格恩迪·塔塔科夫斯基,导演
20086,文森特·帕塔尔,导演
20087,费德·阿尔瓦雷兹,导演
20088,杰赛普·斯塔西,导演
20089,詹姆斯·麦克特格,导演
20090,IvanShurkhovetskiy,导演
20091,王启蘅,导演
20092,毕赣,导演
20093,SvyatoslavPodgaevskiy,导演
20094,韦斯·安德森,导演
20095,孙野,导演
20096,彼得·赫奇斯,导演
20097,马克斯·奥菲尔斯,导演
20098,曾翠珊,导演
20099,黄健中,导演
20100,乔斯·韦登,导演
20101,欧·帕克,导演
20102,杰克·高德,导演
20103,奥利维埃·纳卡什,导演
20104,李昕芸,导演
20105,HasrafDulull,导演
20106,曹保平,导演
20107,贾森·雷特曼,导演
20108,弗兰克·马歇尔,导演
20109,徐啸力,导演
20110,陈静,导演
20111,丁亮,导演
20112,阿列克赛·西多洛夫,导演
20113,JonathanHopkins,导演
20114,汤姆·摩尔,导演
20115,温河,导演
20116,李晨,导演
20117,曹近铉,导演
20118,孟瑀,导演
20119,巴塔萨·科马库,导演
20120,娜丁·拉巴基,导演
20121,法提赫·阿金,导演
20122,김경택,导演
20123,安德烈·萨金塞夫,导演
20124,袁菲,导演
20125,欧文·艾格顿,导演
20126,郑芬芬,导演
20127,何澄,导演
20128,亚当·温加德,导演
20129,孙海鹏,导演
20130,水岛努,导演
20131,禹岚馨,导演
20132,乔纳斯·阿克伦德,导演
20133,佐藤祐市,导演
20134,洛朗·蒂拉尔,导演
20135,河浪荣作,导演
20136,艾什·布兰农,导演
20137,西奥多·梅尔菲,导演
20138,甘·方苏旺,导演
20139,雅克·特纳,导演
20140,柯克·德·米科,导演
20141,五十岚卓哉,导演
20142,克里斯托夫·卢尔德莱,导演
20143,洛芙琳·坦丹,导演
20144,费尔南多·梅里尔斯,导演
20145,李克龙,导演
20146,迈克尔·柯蒂兹,导演
20147,韩延,导演
20148,尹鸿承,导演
20149,李安奎,导演
20150,闫非,导演
20151,格蕾塔·葛韦格,导演
20152,严宥娜,导演
20153,郭暻泽,导演
20154,越川道夫,导演
20155,徐耿,导演
20156,道格·墨菲,导演
20157,斯蒂文·S·迪奈特,导演
20158,路易·马勒,导演
20159,罗伯特·斯特罗姆伯格,导演
20160,乔纳森·莫斯托,导演
20161,刘炜,导演
20162,林汇达,导演
20163,朱利安·勒克莱克,导演
20164,卡梅伦·克罗,导演
20165,约翰内斯·罗伯茨,导演
20166,古斯塔沃·埃尔南德斯,导演
20167,HamiltonLuske,导演
20168,米科·马克拉,导演
20169,连奕琦,导演
20170,巴斯特·基顿,导演
20171,亚当·麦凯,导演
20172,权炯辰,导演
20173,理查德·柯蒂斯,导演
20174,大卫·洛维,导演
20175,细田守,导演
20176,盖瑞·温尼克,导演
20177,维姆·文德斯,导演
20178,古泽健,导演
20179,PrositRoy,导演
20180,乔恩·卢卡斯,导演
20181,五百,导演
20182,拉杰·尼迪莫卢,导演
20183,曾国祥,导演
20184,娄烨,导演
20185,榊英雄,导演
20186,理查德·隆克瑞恩,导演
20187,西娅·夏罗克,导演
20188,武内宣之,导演
20189,杨亚洲,导演
20190,任鹏远,导演
20191,塔雷克·布达里,导演
20192,马修·M·罗斯,导演
20193,AlbertoCavalcanti,导演
20194,罗兰·艾默里奇,导演
20195,萧雅全,导演
20196,扎克·希尔迪奇,导演
20197,比利·怀德,导演
20198,长谷川和彦,导演
20199,姜炯哲,导演
20200,迈克尔·贝,导演
20201,彭力,导演
20202,陈国富,导演
20203,CliveTonge,导演
20204,北村龙平,导演
20205,MikeP.Nelson,导演
20206,陈可辛,导演
20207,郑凡植,导演
20208,岛村达雄,导演
20209,福田雄一,导演
20210,保罗·托马斯·安德森,导演
20211,本·C·卢卡斯,导演
20212,竹内良贵,导演
20213,三木康一郎,导演
20214,郑保瑞,导演
20215,郭德纲,导演
20216,田羽生,导演
20217,彭顺,导演
20218,斯科特·克里斯汀·萨瓦,导演
20219,艾斯彭·山德伯格,导演
