index:ID,film,:LABEL
10001,唐人街探案2,电影
10002,动物世界,电影
10003,邪不压正,电影
10004,疯狂的外星人,电影
10005,过春天,电影
10006,西虹市首富,电影
10007,白蛇：缘起,电影
10008,飞驰人生,电影
10009,一出好戏,电影
10010,无双,电影
10011,我不是药神,电影
10012,无名之辈,电影
10013,芳华,电影
10014,战狼2,电影
10015,影,电影
10016,神童,电影
10017,缝纫机乐队,电影
10018,新喜剧之王,电影
10019,绣春刀II：修罗战场,电影
10020,无问西东,电影
10021,悲伤逆流成河,电影
10022,捉妖记2,电影
10023,找到你,电影
10024,来电狂响,电影
10025,狄仁杰之四大天王,电影
10026,地球最后的夜晚,电影
10027,你好，之华,电影
10028,后来的我们,电影
10029,西游记女儿国,电影
10030,解忧杂货店,电影
10031,三生三世十里桃花,电影
10032,二代妖精之今生有幸,电影
10033,前任3：再见前任,电影
10034,杀破狼·贪狼,电影
10035,红海行动,电影
10036,昨日青空,电影
10037,风语咒,电影
10038,悟空传,电影
10039,幕后玩家,电影
10040,廉政风云,电影
10041,心理罪之城市之光,电影
10042,闪光少女,电影
10043,宝贝儿,电影
10044,逆时营救,电影
10045,绝世高手,电影
10046,叶问外传：张天志,电影
10047,黄金兄弟,电影
10048,龙虾刑警,电影
10049,祖宗十九代,电影
10050,如影随心,电影
10051,南极之恋,电影
10052,奇门遁甲,电影
10053,十万个冷笑话2,电影
10054,灵魂摆渡·黄泉,电影
10055,神探蒲松龄,电影
10056,暴雪将至,电影
10057,未择之路,电影
10058,胖子行动队,电影
10059,冥王星时刻,电影
10060,鲛珠传,电影
10061,熊出没·原始时代,电影
10062,反转人生,电影
10063,泄密者,电影
10064,英雄本色2018,电影
10065,“吃吃”的爱,电影
10066,巨额来电,电影
10067,阿拉姜色,电影
10068,机器之血,电影
10069,武林怪兽,电影
10070,空天猎,电影
10071,西小河的夏天,电影
10072,海吉拉,电影
10073,非分熟女,电影
10074,家和万事惊,电影
10075,中国合伙人2,电影
10076,毒。诫,电影
10077,东北插班生,电影
10078,引爆者,电影
10079,追捕,电影
10080,遇见你真好,电影
10081,老兽,电影
10082,密战,电影
10083,京城81号2,电影
10084,熊出没·变形记,电影
10085,李雷和韩梅梅,电影
10086,脱单告急,电影
10087,我是江小白 剧场版,电影
