:START_ID,:END_ID,relation,:TYPE
10001,30016,类型,类型
10001,30024,类型,类型
10001,30015,类型,类型
10001,30004,类型,类型
10002,30002,类型,类型
10002,30024,类型,类型
10002,30029,类型,类型
10003,30002,类型,类型
10003,30016,类型,类型
10003,30024,类型,类型
10004,30016,类型,类型
10004,30018,类型,类型
10005,30002,类型,类型
10006,30016,类型,类型
10007,30006,类型,类型
10007,30026,类型,类型
10007,30009,类型,类型
10008,30016,类型,类型
10009,30002,类型,类型
10009,30016,类型,类型
10010,30002,类型,类型
10010,30024,类型,类型
10010,30015,类型,类型
10010,30004,类型,类型
10011,30002,类型,类型
10011,30016,类型,类型
10012,30002,类型,类型
10012,30016,类型,类型
10013,30002,类型,类型
10013,30021,类型,类型
10013,30010,类型,类型
10014,30024,类型,类型
10014,30010,类型,类型
10015,30002,类型,类型
10015,30024,类型,类型
10015,30001,类型,类型
10015,30022,类型,类型
10016,30007,类型,类型
10016,30013,类型,类型
10017,30016,类型,类型
10017,30027,类型,类型
10018,30002,类型,类型
10018,30016,类型,类型
10019,30002,类型,类型
10019,30024,类型,类型
10019,30001,类型,类型
10019,30022,类型,类型
10020,30002,类型,类型
10020,30006,类型,类型
10020,30010,类型,类型
10021,30002,类型,类型
10021,30006,类型,类型
10022,30016,类型,类型
10022,30009,类型,类型
10023,30002,类型,类型
10023,30014,类型,类型
10024,30002,类型,类型
10024,30016,类型,类型
10025,30024,类型,类型
10025,30015,类型,类型
10025,30009,类型,类型
10025,30001,类型,类型
10025,30022,类型,类型
10026,30002,类型,类型
10026,30006,类型,类型
10026,30015,类型,类型
10027,30002,类型,类型
10027,30006,类型,类型
10028,30002,类型,类型
10028,30006,类型,类型
10029,30016,类型,类型
10029,30006,类型,类型
10029,30009,类型,类型
10030,30002,类型,类型
10030,30009,类型,类型
10031,30006,类型,类型
10031,30009,类型,类型
10032,30016,类型,类型
10032,30006,类型,类型
10032,30009,类型,类型
10033,30016,类型,类型
10033,30006,类型,类型
10034,30002,类型,类型
10034,30024,类型,类型
10035,30024,类型,类型
10035,30010,类型,类型
10036,30006,类型,类型
10036,30026,类型,类型
10037,30026,类型,类型
10037,30009,类型,类型
10038,30002,类型,类型
10038,30024,类型,类型
10038,30009,类型,类型
10039,30002,类型,类型
10039,30015,类型,类型
10039,30004,类型,类型
10040,30002,类型,类型
10040,30015,类型,类型
10040,30004,类型,类型
10041,30024,类型,类型
10041,30015,类型,类型
10041,30004,类型,类型
10042,30016,类型,类型
10042,30027,类型,类型
10043,30002,类型,类型
10044,30024,类型,类型
10044,30018,类型,类型
10045,30016,类型,类型
10045,30024,类型,类型
10046,30002,类型,类型
10046,30024,类型,类型
10046,30004,类型,类型
10047,30024,类型,类型
10047,30004,类型,类型
10048,30016,类型,类型
10048,30024,类型,类型
10048,30004,类型,类型
10049,30016,类型,类型
10049,30009,类型,类型
10050,30002,类型,类型
10050,30006,类型,类型
10051,30006,类型,类型
10051,30029,类型,类型
10052,30024,类型,类型
10052,30009,类型,类型
10053,30016,类型,类型
10053,30026,类型,类型
10053,30009,类型,类型
10054,30015,类型,类型
10054,30007,类型,类型
10054,30009,类型,类型
10055,30016,类型,类型
10055,30024,类型,类型
10055,30009,类型,类型
10056,30002,类型,类型
10056,30015,类型,类型
10056,30004,类型,类型
10057,30002,类型,类型
10057,30004,类型,类型
10058,30016,类型,类型
10058,30024,类型,类型
10059,30002,类型,类型
10060,30016,类型,类型
10060,30024,类型,类型
10060,30006,类型,类型
10060,30009,类型,类型
10061,30016,类型,类型
10061,30026,类型,类型
10061,30029,类型,类型
10062,30016,类型,类型
10062,30009,类型,类型
10063,30002,类型,类型
10063,30004,类型,类型
10064,30002,类型,类型
10064,30024,类型,类型
10065,30016,类型,类型
10065,30006,类型,类型
10065,30009,类型,类型
10066,30002,类型,类型
10066,30004,类型,类型
10067,30002,类型,类型
10067,30014,类型,类型
10068,30002,类型,类型
10068,30024,类型,类型
10068,30018,类型,类型
10069,30016,类型,类型
10069,30009,类型,类型
10069,30001,类型,类型
10070,30002,类型,类型
10070,30024,类型,类型
10070,30010,类型,类型
10071,30002,类型,类型
10071,30014,类型,类型
10072,30002,类型,类型
10072,30006,类型,类型
10073,30002,类型,类型
10073,30030,类型,类型
10074,30016,类型,类型
10074,30014,类型,类型
10075,30002,类型,类型
10076,30002,类型,类型
10076,30024,类型,类型
10076,30004,类型,类型
10077,30016,类型,类型
10077,30024,类型,类型
10078,30024,类型,类型
10078,30004,类型,类型
10079,30002,类型,类型
10079,30024,类型,类型
10079,30015,类型,类型
10080,30002,类型,类型
10080,30016,类型,类型
10080,30006,类型,类型
10081,30002,类型,类型
10082,30002,类型,类型
10082,30024,类型,类型
10082,30010,类型,类型
10083,30002,类型,类型
10083,30015,类型,类型
10083,30007,类型,类型
10084,30016,类型,类型
10084,30026,类型,类型
10084,30029,类型,类型
10085,30002,类型,类型
10085,30016,类型,类型
10085,30006,类型,类型
10086,30016,类型,类型
10086,30006,类型,类型
10087,30006,类型,类型
10087,30026,类型,类型
10088,30002,类型,类型
10088,30021,类型,类型
10088,30010,类型,类型
10089,30002,类型,类型
10089,30006,类型,类型
10090,30007,类型,类型
10090,30013,类型,类型
10091,30006,类型,类型
10092,30002,类型,类型
10092,30016,类型,类型
10092,30024,类型,类型
10093,30002,类型,类型
10093,30014,类型,类型
10093,30003,类型,类型
10094,30016,类型,类型
10094,30014,类型,类型
10095,30016,类型,类型
10095,30009,类型,类型
10096,30016,类型,类型
10096,30004,类型,类型
10097,30002,类型,类型
10097,30015,类型,类型
10097,30004,类型,类型
10098,30024,类型,类型
10098,30017,类型,类型
10098,30021,类型,类型
10098,30010,类型,类型
10098,30022,类型,类型
10099,30002,类型,类型
10100,30002,类型,类型
10100,30015,类型,类型
10101,30002,类型,类型
10101,30015,类型,类型
10101,30004,类型,类型
